rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
58,30,37,125,192,1.5052083333333333,0.05426678683333001,552,"Don't blame me, I voted for Al Gore."
59,26,46,122,194,1.5051546391752577,0.05180746874399456,552,We're duned.
59,18,62,114,194,1.5051546391752577,0.04750459154269835,552,I was hoping for a better hallucination.
61,16,64,111,191,1.5026178010471205,0.046877916141341604,552,The guy in the kayak is about two hours ahead of you.
61,32,32,127,191,1.5026178010471205,0.05549166277583324,552,"Merrily, merrily, merrily, merrily my ass."
63,26,43,121,190,1.5,0.05263854033605667,552,"No, YOU'RE a mirage"
63,25,44,119,188,1.5,0.05252742837410103,552,"You can stop rowing, Michael. We're ashore."
63,23,48,117,188,1.5,0.051432986931796626,552,I followed Siri. What's your excuse?
63,27,43,124,194,1.5,0.052321768296158325,552,"Next time you have a choice, pick the camels."
63,25,44,119,188,1.5,0.05252742837410103,552,Thank you for coming to rescue me
63,23,49,118,190,1.5,0.05102677288541744,552,Are you just going to leave me here to drown!?
63,24,47,119,190,1.5,0.051569626173134805,552,"Merrily, merrily my ass!"
63,21,52,115,188,1.5,0.050314744934824136,552,"Aw, man, right through my sand castle."
63,31,35,128,194,1.5,0.054325235734854954,552,You're up a paddle without a creek.
72,22,49,116,187,1.4973262032085561,0.051079053660882105,552,"One more Merrily, Merrily and you're a dead man."
72,26,41,120,187,1.4973262032085561,0.053282959264306186,552,Thank goodness you showed up. I've been treading water all day.
72,23,47,117,187,1.4973262032085561,0.05163884903015252,552,Do I LOOK like I have any Grey Poupon?
75,20,50,112,182,1.4945054945054945,0.05094412659175377,552,"Watch your wake, buddy!"
76,24,43,119,186,1.489247311827957,0.05239913842009377,552,I still think a gym membership would've been better.
76,23,45,118,186,1.489247311827957,0.051841557349296005,552,I don't care what Google Maps says!
76,18,55,113,186,1.489247311827957,0.048958491342782885,552,I told you a camel would be a better investment!
79,24,42,118,184,1.4891304347826086,0.05282983393813591,552,"Seriously, you're my Uber?"
80,28,33,121,182,1.489010989010989,0.05550230443325899,552,I told you that was a stupid third wish.
80,16,57,109,182,1.489010989010989,0.04849693374494,552,I don't believe in global warming either.
80,20,49,113,182,1.489010989010989,0.05093921528882687,552,So this is what you meant about a dry run.
80,22,45,115,182,1.489010989010989,0.05211745571333687,552,We are not going anywhere until I find that lens.
84,20,48,113,181,1.4861878453038675,0.05114270337446712,552,"What do you mean, there's a weight limit?"
84,24,40,117,181,1.4861878453038675,0.05348948985799795,552,I didn't think he would really drain the swamp.
84,18,52,111,181,1.4861878453038675,0.04992796210580463,552,I can't. I get seasick.
87,25,37,118,180,1.4833333333333334,0.05428560927448153,552,"Give it up, Michael. You are ashore."
88,19,48,112,179,1.4804469273743017,0.050941042157487876,552,I know you said it was a dry run.
88,24,38,117,179,1.4804469273743017,0.05393369326571597,552,"Well, we drained the Swamp..."
88,25,36,118,179,1.4804469273743017,0.054512512030892614,552,You aren't from around here are you?
88,25,36,118,179,1.4804469273743017,0.054512512030892614,552,Have you seen a majorette leading a marching band?
88,20,46,113,179,1.4804469273743017,0.05155347199489897,552,Can’t you see we’re in the same boat?
88,21,44,114,179,1.4804469273743017,0.05215871138522029,552,But it's a dry heat.
94,20,46,114,180,1.4777777777777779,0.05133570066100222,552,"No, no. You've got it backward. I'M supposed to wander here for forty years. YOU'RE supposed to wait until it rains for forty days and forty nights."
95,18,49,111,178,1.4775280898876404,0.05051946004578002,552,"I'm telling you Pete, we were going faster when I was in the boat making motor noises"
96,22,40,114,176,1.4772727272727273,0.053424631615783494,552,"Yeah, I think I see land, too."
96,20,44,112,176,1.4772727272727273,0.05219502977690542,552,"No! You come in on 'Merrily, merrily!'"
96,23,38,115,176,1.4772727272727273,0.054028939728790144,552,Make that row versus wade joke one more time and you'll be sorry!
99,21,41,113,175,1.4742857142857142,0.05303104574941961,552,"Michael, you've rowed your boat ashore. You can stop now."
99,23,37,115,175,1.4742857142857142,0.05425545782002596,552,Who drained the swamp?
99,17,49,109,175,1.4742857142857142,0.05049322759845994,552,Permission to come aboard?
99,22,39,114,175,1.4742857142857142,0.05364674508550193,552,"Say ""merrily"" one more time. I dare you."
99,16,51,108,175,1.4742857142857142,0.049838585336244114,552,"If it weren't for global warming, I would have drowned!"
104,20,42,112,174,1.471264367816092,0.05262251440805309,552,No. We're not all in the same boat!
104,22,38,114,174,1.471264367816092,0.053870312406151054,552,Is that a sun stroke?
104,20,42,112,174,1.471264367816092,0.05262251440805309,552,Maybe it's time to admit that we're lost.
107,17,48,110,175,1.4685714285714286,0.050474641361735545,552,"Thanks for the offer, but I get seasick."
107,12,58,105,175,1.4685714285714286,0.047109258067145096,552,At least it's a dry heat.
109,19,43,112,174,1.4655172413793103,0.05196718306152776,552,I can't find your stupid contact lens! Can I get back in the boat now!
110,21,38,113,172,1.4651162790697674,0.05369227745258128,552,"Merrily, merrily, merrily, my ass."
110,15,50,107,172,1.4651162790697674,0.04974800420136326,552,"""Would you stop humming the music to Jaws for God's sake!"
112,22,35,113,170,1.464705882352941,0.05480346027770458,552,"Michael, you've rowed your boat ashore."
112,14,51,105,170,1.464705882352941,0.049462208848935575,552,"I hate to break it to you, but the 'ship of the desert' is a camel."
112,14,51,105,170,1.464705882352941,0.049462208848935575,552,"Thanks, but I'm makin' pretty good time."
112,24,31,115,170,1.464705882352941,0.056059312758528344,552,He sure drained the swamp fast.
116,23,33,115,171,1.4619883040935673,0.05517677254955649,552,You think you're hallucinating? I'm drowning here!
117,19,40,110,169,1.4615384615384615,0.053081966103258015,552,This is nothing. In the 70's I traveled through this area on a horse with no name.
117,16,46,107,169,1.4615384615384615,0.05105260023723939,552,No life vest? Are you crazy?
117,21,36,112,169,1.4615384615384615,0.05439282932204212,552,It took you long enough to get here.
117,18,42,109,169,1.4615384615384615,0.052414241836095915,552,"Save yourself Jimmy, it's too late for me."
117,21,36,112,169,1.4615384615384615,0.05439282932204212,552,No. We're not all in the same boat!
117,18,42,109,169,1.4615384615384615,0.052414241836095915,552,"It's just a song, Michael."
117,22,34,113,169,1.4615384615384615,0.05503655385097699,552,"Didn't you hear me yell ""man over board""?"
124,24,30,116,170,1.4588235294117646,0.05603556771190124,552,"For the last time, I refuse to get on a boat without a life jacket!"
124,15,48,107,170,1.4588235294117646,0.05013443976276756,552,Which way to Burning Man?
124,18,42,110,170,1.4588235294117646,0.05217569341321112,552,It looks like we are both using the same GPS.
124,20,38,112,170,1.4588235294117646,0.053493273144367956,552,"Even though you say we're in the same boat, we're really not."
128,19,39,110,168,1.4583333333333333,0.05330144559270083,552,"If you say, 'at least we have a paddle' one more time, I'm going to capsize you."
128,25,27,116,168,1.4583333333333333,0.05717307144845306,552,I warned you about draining the swamp.
128,18,41,109,168,1.4583333333333333,0.052628491360117234,552,“The third leg of this triathlon is a killer”.
128,20,37,111,168,1.4583333333333333,0.05396600876201017,552,Merrily my ass
128,22,33,113,168,1.4583333333333333,0.055271168800386176,552,"Oh sure, just leave me here to drown."
128,17,43,108,168,1.4583333333333333,0.051946819954759714,552,"Stay in your lane, buddy!"
134,15,46,105,166,1.4578313253012047,0.0509869082685975,552,What took you so long?
135,13,50,104,167,1.4550898203592815,0.049312850454975285,552,I think we're in the same boat
135,18,40,109,167,1.4550898203592815,0.05284393583428811,552,"Thanks, but I always get seasick."
137,19,38,111,168,1.4523809523809523,0.053271584278889436,552,We're duned.
137,24,28,116,168,1.4523809523809523,0.05651806515381944,552,"Michael, I didn't mean this far ashore."
139,21,33,112,166,1.4518072289156627,0.05508613118138934,552,"So, tell me again. Why did you choose the boat over the camel?"
139,20,35,111,166,1.4518072289156627,0.05441932100279689,552,What do you mean you don't pick up hitchhikers?
141,17,40,107,164,1.451219512195122,0.05283017921095533,552,I think we could both use some water
141,24,26,114,164,1.451219512195122,0.057573819823530124,552,Where were you when I was in the desert island cartoon?
141,20,34,110,164,1.451219512195122,0.054913367523066414,552,"Face it Larry, you're up the creek without a creek."
141,14,46,104,164,1.451219512195122,0.05066140284476879,552,Rough dunes today.
141,21,32,111,164,1.451219512195122,0.0555904185252333,552,And where does your brilliant GPS tell us to go now?
141,22,30,112,164,1.451219512195122,0.056259322168844494,552,"On your mark, get set..."
147,15,43,105,163,1.4478527607361964,0.05159970243428919,552,No thanks; I get seasick.
147,21,31,111,163,1.4478527607361964,0.05582984384306276,552,"If you say, ' Long time no sea' one more time, I'll leave you on the first island we come to."
147,17,39,107,163,1.4478527607361964,0.053047243240201,552,"Thanks for the offer, but I get seasick."
147,18,37,108,163,1.4478527607361964,0.05375639847891581,552,"You climate change deniers just don't give up, do you?"
147,16,41,106,163,1.4478527607361964,0.052328478416117936,552,"Don't just sit there, throw me a line!"
147,18,37,108,163,1.4478527607361964,0.05375639847891581,552,"No thanks, I have a tendency to get seasick."
147,20,33,110,163,1.4478527607361964,0.05514735806456954,552,"Yes, Michael. You rowed the boat ashore. Hallelujah."
147,18,37,108,163,1.4478527607361964,0.05375639847891581,552,If you let me back in I promise not to criticize your navigation skills.
147,19,35,109,163,1.4478527607361964,0.05445631955487731,552,"No thanks, I'd rather swim."
147,18,37,108,163,1.4478527607361964,0.05375639847891581,552,"Michael, your boat is already ashore."
157,16,41,107,164,1.4451219512195121,0.05208006760368744,552,You have a very dry sense of humor.
157,20,33,111,164,1.4451219512195121,0.054878048780487805,552,You climate change deniers will never give up.
159,17,38,107,162,1.4444444444444444,0.05326542720899233,552,"Post-truth world notwithstanding, there is no stream, you're not rowing gently, and I really take issue with ""merrily""!"
159,17,38,107,162,1.4444444444444444,0.05326542720899233,552,I'm sick and tired of always having to play the shark!
159,19,34,109,162,1.4444444444444444,0.05468608788311258,552,I'll never vote to drain the swamp again.
159,22,28,112,162,1.4444444444444444,0.056750435383916574,552,"No, I Do Not have any Grey Poupon?"
163,14,43,104,161,1.4409937888198758,0.05126105432736115,552,Practicing your heat stroke?
163,18,35,108,161,1.4409937888198758,0.0542056703395858,552,Welcome to death row.
163,16,39,106,161,1.4409937888198758,0.052753911645092834,552,"Remember, when the tide comes in we switch."
163,15,41,105,161,1.4409937888198758,0.05201283920634853,552,Permission to come aboard?
163,18,35,108,161,1.4409937888198758,0.0542056703395858,552,Your choice; row verses wade
163,20,31,110,161,1.4409937888198758,0.05561954872227427,552,Why don't you just 'merrily' kiss my ass?
169,17,36,106,159,1.440251572327044,0.05397295404381147,552,All I'm saying is that the science isn't necessarily conclusive.
169,18,34,107,159,1.440251572327044,0.05470549573959999,552,So I guess that flood thing was just fake news?
169,17,36,106,159,1.440251572327044,0.05397295404381147,552,"Kenny, your ""man overboard"" thing isn't funny anymore."
172,22,27,113,162,1.4382716049382716,0.05671080300180901,552,I think we lost that Drum Majorette
172,10,51,101,162,1.4382716049382716,0.04791597169933714,552,"No thanks, boats make me seasick."
174,16,38,106,160,1.4375,0.052968113702324626,552,Are you just gonna leave me here to drown?
174,16,38,106,160,1.4375,0.052968113702324626,552,Heat! Stroke! Heat! Stroke!
176,20,29,109,158,1.4367088607594938,0.05638577251182982,552,"Hey, watch your wake I'm crawling here."
176,15,39,104,158,1.4367088607594938,0.05268991427530116,552,"No thanks, I'll swim from here."
176,17,35,106,158,1.4367088607594938,0.05419850898784468,552,You took forever. Does that mean my pizza is free?
176,19,31,108,158,1.4367088607594938,0.05566623470895419,552,You plugged DEAD SEA into the GPS?
176,14,41,103,158,1.4367088607594938,0.05191918153491191,552,You're still bending your elbows early.
176,14,41,103,158,1.4367088607594938,0.05191918153491191,552,I don't care if you don't know how to swim; it's my turn to row.
182,13,43,103,159,1.4339622641509433,0.05088837561068932,552,"No thanks. I have to get in my 10,000 steps."
183,15,38,104,157,1.4331210191082802,0.05290351670625326,552,Just going to leave me here to drown?
183,15,38,104,157,1.4331210191082802,0.05290351670625326,552,Do you have any Grey Poupon?
183,14,40,103,157,1.4331210191082802,0.05212602768829321,552,I've heard of a dry run but this is insane!
183,22,24,111,157,1.4331210191082802,0.05805512295384076,552,"For the hundredth time, I am not getting in that thing without a life jacket."
183,13,42,102,157,1.4331210191082802,0.05133676504448448,552,Can you give me a lift to the next mirage?
183,14,40,103,157,1.4331210191082802,0.05212602768829321,552,Go on ahead. I'll catch up.
183,20,28,109,157,1.4331210191082802,0.056631075096004964,552,"You, again?"
183,15,38,104,157,1.4331210191082802,0.05290351670625326,552,Still think 'life is but a dream'?
183,16,36,105,157,1.4331210191082802,0.05366974377819336,552,"Well if you think rowing in this is hard, try swimming in it!"
192,14,40,104,158,1.4303797468354431,0.051867556113767116,552,"Enough with the ""cry me a river"" already."
193,13,41,102,156,1.4294871794871795,0.051537309304881776,552,Stop splashing me!!!
193,20,27,109,156,1.4294871794871795,0.05687780895884264,552,They elected who?!
193,15,37,104,156,1.4294871794871795,0.0531179839815541,552,Let's call it a tie.
193,16,35,105,156,1.4294871794871795,0.05389093808984429,552,Which one of us is imagining the other?
193,20,27,109,156,1.4294871794871795,0.05687780895884264,552,"Spoiler alert: Land, ho!"
193,14,39,103,156,1.4294871794871795,0.052333614783672704,552,How come I always have to be the shark?
193,16,35,105,156,1.4294871794871795,0.05389093808984429,552,"Let me say it one more time. ""Man overboard!"""
193,17,33,106,156,1.4294871794871795,0.054652961439817904,552,"Hey, watch your wake!"
193,12,43,101,156,1.4294871794871795,0.05072850544268243,552,"Are you insane, man? Where's your life jacket?"
202,17,32,105,154,1.4285714285714286,0.05516920970164322,552,You have perfected the heat stroke.
202,18,30,106,154,1.4285714285714286,0.0559332113947295,552,Are you the mirage or am I?
202,20,26,108,154,1.4285714285714286,0.05743073230052641,552,Third climate change denier I've met today.
202,11,44,99,154,1.4285714285714286,0.05034229903532614,552,Mine capsized.
202,18,30,106,154,1.4285714285714286,0.0559332113947295,552,"Man, you Uber guys are everywhere!"
202,13,40,101,154,1.4285714285714286,0.05200107641010354,552,Wow. And I thought my GPS sucked.
202,15,36,103,154,1.4285714285714286,0.05360855177540852,552,"I thought it was metaphor for something else when he said he was going to ""drain the swamp..."""
202,16,34,104,154,1.4285714285714286,0.0543944782241752,552,I'll wait for the next mirage.
202,15,36,103,154,1.4285714285714286,0.05360855177540852,552,Mine capsized last week.
202,14,38,102,154,1.4285714285714286,0.05281093055072067,552,At least it's a dry heat.
202,14,38,102,154,1.4285714285714286,0.05281093055072067,552,"Well, at least it's a dry heat."
213,21,26,112,159,1.4276729559748427,0.05675395163283198,552,This is what we get for following that majorette!
214,14,37,102,153,1.4248366013071896,0.05302413796444739,552,Are you any closer to accepting that the GPS might be wrong?
214,18,29,106,153,1.4248366013071896,0.05617433982606975,552,I'll wait for the camel.
214,14,37,102,153,1.4248366013071896,0.05302413796444739,552,Can we finally admit the climate has changed?
214,18,29,106,153,1.4248366013071896,0.05617433982606975,552,Did Moses say WHEN the sea was returning?
214,12,41,100,153,1.4248366013071896,0.0513766540644848,552,I'm not the mirage - you're the mirage!
214,14,37,102,153,1.4248366013071896,0.05302413796444739,552,"""Didn't you hear me yell ""man overboard"" six miles ago?"
214,15,35,103,153,1.4248366013071896,0.053828974715094235,552,I'm just not a boat person.
221,17,31,106,154,1.422077922077922,0.05511173264832247,552,You're scaring the fish away!
221,16,33,105,154,1.422077922077922,0.05433618166265052,552,Don't leave me! The next boat isn't due for hours.
221,14,37,103,154,1.422077922077922,0.052750883992870964,552,The lake was more fun before climate change.
221,16,33,105,154,1.422077922077922,0.05433618166265052,552,What the hell took so long?
225,16,32,104,152,1.4210526315789473,0.054850406363165606,552,"Frankly, I'd rather be following that majorette from a couple weeks ago!"
225,11,42,99,152,1.4210526315789473,0.05072351722328625,552,"Quit complaining, you can't sink and I can't drown."
225,18,28,106,152,1.4210526315789473,0.05641669814590136,552,How far are you going?
225,14,36,102,152,1.4210526315789473,0.05323805337090234,552,"We're ALREADY in the same boat, so stop telling me to get in!"
225,15,34,103,152,1.4210526315789473,0.054050242390425246,552,Haven't you heard someone yelling 'man overboard' for the past four miles?!?
225,13,38,101,152,1.4210526315789473,0.05241328029213941,552,Hey! Quit splashing!
225,17,30,105,152,1.4210526315789473,0.0556390641001902,552,"I said, ""Man Overboard!"""
225,10,44,98,152,1.4210526315789473,0.04985716421699434,552,It's my turn in the mirage
225,13,38,101,152,1.4210526315789473,0.05241328029213941,552,"When I called for a ship of the desert, I was expecting a camel."
225,14,36,102,152,1.4210526315789473,0.05323805337090234,552,"No, we are most certainly not in the same boat!"
225,18,28,106,152,1.4210526315789473,0.05641669814590136,552,"Final offer, I have two tickets to 'Hamilton'."
236,12,39,100,151,1.4172185430463575,0.0517743583726942,552,"No! I will not just ""get on board""."
236,16,31,104,151,1.4172185430463575,0.05507980635320332,552,"That’s right, just row away and leave me here to drown!"
236,13,37,101,151,1.4172185430463575,0.05262019009519751,552,One of us is hallucinating.
236,14,35,102,151,1.4172185430463575,0.053452639096730044,552,Are you just going to sit there or are you going to help me find my contact lens?
236,18,27,106,151,1.4172185430463575,0.056660263936973335,552,I think I see land!
236,12,39,100,151,1.4172185430463575,0.0517743583726942,552,Yeah. The tide's out.
236,16,31,104,151,1.4172185430463575,0.05507980635320332,552,"So what part of ""MAN OVERBOARD"" don't you understand?"
236,14,35,102,151,1.4172185430463575,0.053452639096730044,552,I've come to rescue you.
244,13,36,100,149,1.4161073825503356,0.053109949253230496,552,Doesn't anyone pick up hitch-hikers any more?
244,13,36,100,149,1.4161073825503356,0.053109949253230496,552,"Pardon Me, Do You Have Any Grey Poupon?"
244,16,30,103,149,1.4161073825503356,0.055612506456572626,552,Now do you believe in climate change?
244,20,22,107,149,1.4161073825503356,0.05878375422385977,552,See what happens when they drain the swamp?
244,15,32,102,149,1.4161073825503356,0.05479102255675767,552,"The next time Moses says he can part the Red Sea, just take his word for it."
244,16,30,103,149,1.4161073825503356,0.055612506456572626,552,It's your turn to play the shark.
244,17,28,104,149,1.4161073825503356,0.05642203112215597,552,For the umpteenth time...man overboard!
244,15,32,102,149,1.4161073825503356,0.05479102255675767,552,Have I seen land?!?!
244,13,36,100,149,1.4161073825503356,0.053109949253230496,552,If I admit to global warming can I get back in the boat?
244,14,34,101,149,1.4161073825503356,0.053957033195385404,552,I yell for help and you row right past me!
254,12,37,98,147,1.4149659863945578,0.052735740957465145,552,You're just going to let me drown here?
255,11,40,99,150,1.4133333333333333,0.051105599028391284,552,"I may be thirsty, but at least I'm not delusional!"
255,10,42,98,150,1.4133333333333333,0.05022247299205539,552,It looked different in the brochure.
255,11,40,99,150,1.4133333333333333,0.051105599028391284,552,"Whatever floats your boat, I guess."
255,19,24,107,150,1.4133333333333333,0.05768592480800244,552,"Believe it or not pal, we're both in the same boat...."
255,12,38,100,150,1.4133333333333333,0.051973721347077735,552,'Let's book off-season.' you said. 'It will be half the price and no crowds.' you said. Are you happy now?
260,13,35,100,148,1.412162162162162,0.053322289880432305,552,It's a dry run.
260,14,33,101,148,1.412162162162162,0.05417744236718903,552,"Steve, Moses parted the sea like two weeks ago. Just admit that we're lost!"
260,13,35,100,148,1.412162162162162,0.053322289880432305,552,Permission to come aboard? Sir
260,17,27,104,148,1.412162162162162,0.056665520835176245,552,Wait...you're not going to leave me here to drown?
260,14,33,101,148,1.412162162162162,0.05417744236718903,552,"Shit creek it is, but you've got a paddle."
260,12,37,99,148,1.412162162162162,0.052453197564453775,552,Thank God you're here! Can you take me to one of those tiny islands with a single palm tree?
260,14,33,101,148,1.412162162162162,0.05417744236718903,552,"No thanks, I get sandsick."
260,16,29,103,148,1.412162162162162,0.05584847883483093,552,"Stop rowing, you're scaring away the fish."
260,15,31,102,148,1.412162162162162,0.05501930501930503,552,"Uh, Michael, you're ashore already."
260,19,23,106,148,1.412162162162162,0.05826524331225488,552,Moron! Watch where you're going!
260,15,31,102,148,1.412162162162162,0.05501930501930503,552,I think we're dealing with something a little worse than low tide.
260,15,31,102,148,1.412162162162162,0.05501930501930503,552,It wouldn't kill you to say 'passing on the left.'
272,13,33,98,144,1.4097222222222223,0.054349650084440586,552,"You've taken the song a bit too seriously, Michael."""
273,14,33,102,149,1.4093959731543624,0.053883656789081566,552,On your left!
273,15,31,103,149,1.4093959731543624,0.0547187645194109,552,For the last time -- we're not in the same boat!
273,13,35,101,149,1.4093959731543624,0.053035400888428584,552,Let me guess--you must be Michael.
273,12,37,100,149,1.4093959731543624,0.05217335551628941,552,In order to make sure you are not a mirage I'll need to ask you a few security questions.
273,18,25,106,149,1.4093959731543624,0.05715091736124938,552,"This "" secret fishing spot "" had better be worth it !"
278,11,38,98,147,1.4081632653061225,0.051765135971020594,552,Do you have any idea how LONG I'd been working on that sand castle?
278,12,36,99,147,1.4081632653061225,0.052657547058458806,552,Recalculating!
278,13,34,100,147,1.4081632653061225,0.05353508403214995,552,And how much for my luggage?
278,17,26,104,147,1.4081632653061225,0.0569100787452589,552,Don't you just hate G.P.S.?
278,13,34,100,147,1.4081632653061225,0.05353508403214995,552,"Trust me, don't drink the sand–it will only make you thirstier."
278,15,30,102,147,1.4081632653061225,0.055248358731825355,552,Why don't you go rescue the people stranded on desert islands in all those other New Yorker cartoons?
278,13,34,100,147,1.4081632653061225,0.05353508403214995,552,Could you at least throw me a life jacket?
278,20,20,107,147,1.4081632653061225,0.05931543596011268,552,"You can stop, Michael."
278,17,26,104,147,1.4081632653061225,0.0569100787452589,552,Didn't you hear he drained the swamp!
278,15,30,102,147,1.4081632653061225,0.055248358731825355,552,"Could you please drop the 'Merrily, Merrily' bit"
288,13,35,102,150,1.4066666666666667,0.05275129835370397,552,I refuse to get in there without a life vest.
288,15,31,104,150,1.4066666666666667,0.0544212311072383,552,Will you ever stop reminding me that you rowed at Harvard?
288,18,25,107,150,1.4066666666666667,0.05683420423535785,552,Do I LOOK like I know the way to San Jose?
291,17,26,105,148,1.4054054054054055,0.05659148228036204,552,Let me try the water skis again.
292,11,37,98,146,1.404109589041096,0.05196085798666356,552,I'd walk a mile for a camel
292,18,23,105,146,1.404109589041096,0.0579762360087057,552,Are you my Uber?
292,12,35,99,146,1.404109589041096,0.05286212324528574,552,I'd get in but this kind of humor is too dry for me.
292,15,29,102,146,1.404109589041096,0.055478139909954274,552,"Well, he said he would drain the swamp!"
292,9,41,96,146,1.404109589041096,0.05010972101430118,552,Oh yeah?! Well you should try swimming in it!
292,12,35,99,146,1.404109589041096,0.05286212324528574,552,Hey! I'm swimming here!
292,14,31,101,146,1.404109589041096,0.054620057639835025,552,That genie screwed us again.
292,21,17,108,146,1.404109589041096,0.0603710516357453,552,You just had to go back and water the plants?
