,caption,funny,somewhat_funny,unfunny,count,score,precision,rank
90,You kids these days want the easy way out.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1663
91,I never should have told your mother that size doesn't matter.,1.0,2.0,9.0,12.0,1.3333333333333333,0.18802535827258876,1659
92,"Quickly, before the kids come!",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1655
93,Last time I play high-stakes Candy Land with you.,1.0,2.0,9.0,12.0,1.3333333333333333,0.18802535827258876,1654
94,If you think this is so funny go audition for the Coen brothers!,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1652
95,"Just like my wife always says, ""size matters.""",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1650
96,No thanks - It's probably best that I don't get to Flint for a couple months.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1649
97,"son, remember it not how much you shovel but how much you feel that you shoveled.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1646
98,"Yeah, that was a government shovel. Too big. Gets nothing done.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1644
99,No thanks--I've downsized.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1678
100,It's the journey.,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,1773
101,"It's not how small the tool son, it's that you git her done!",1.0,2.0,9.0,12.0,1.3333333333333333,0.18802535827258876,1712
102,The other way!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1715
103,That's why Santa left YOU the big one son,1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1770
104,"Quick switch shovels, Moms coming!",1.0,5.0,9.0,15.0,1.4666666666666666,0.1652319197418807,1769
105,Because I'm the boss -- get used to it!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1767
106,Now you come?,0.0,2.0,7.0,9.0,1.2222222222222223,0.1469861839480328,1766
107,"You mocking me, son.",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1765
108,"I wanted a more hand-crafted, artisanal look.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1763
109,It's all in the motion and leverage.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1761
110,"Hang on, I'll get the salt shaker.",2.0,3.0,10.0,15.0,1.4666666666666666,0.1918994445677132,1758
111,"Son, as I told you, size doesn't matter.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1756
112,I got a better idea: Let's wait for a thaw.,1.0,0.0,9.0,10.0,1.2,0.19999999999999998,1754
113,Welcome to Dad's world.,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,1751
114,Bring me the Tonka skiploader from your toy box.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1750
115,"We can do this the hard way or we can do this the easy way, son.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1749
116,"NOW, you find the shovel?",1.0,6.0,7.0,14.0,1.5714285714285714,0.17270586423628256,1748
117,Well at least you can't accuse me of compensating for something.,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,1714
118,"C'mon now, like this. Bend, thrust, toss. Bend, thrust, toss.",0.0,2.0,7.0,9.0,1.2222222222222223,0.1469861839480328,1747
119,"Thanks son, this shovel app is not quite cutting it.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1742
120,"My brain says yes, my back says no.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1741
121,You remind me of Jeb!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1740
122,The doctor suggested smaller portions.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1738
123,This reminds me of a cartoon in 'Family Circle.',0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1737
124,Up yours!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1735
125,"Hey Ed, I just realized that's my scarf you're wearing!",1.0,0.0,9.0,10.0,1.2,0.19999999999999998,1734
126,"Thanks, but I'll stick with what I'm using. I'm getting paid by the hour.",0.0,2.0,7.0,9.0,1.2222222222222223,0.1469861839480328,1731
127,Does this make history look like fun?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1730
128,It's not the size that counts.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1726
129,Watch me son-it's all in the wrists.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1724
130,"It's not the size of the tool that matters, it's how you use it.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1721
131,"No, thanks. I'm undercompensating.",0.0,4.0,8.0,12.0,1.3333333333333333,0.14213381090374033,1720
132,Someday you'll understand -I work for the city...,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1719
133,"Thanks, but I really don't want to go to work today",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,1743
134,"You said you wanted big-boy toys when you took my iPad. Well, here you go.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1913
135,NOW you tell me you left it laying on the lawn?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1914
136,I wonder how long you have been out here.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1915
137,You'll regret buying that once global warming kicks in.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2136
138,"That's right, son . . . . Now yours is bigger.",1.0,0.0,9.0,10.0,1.2,0.19999999999999998,2135
139,"And no, you will not be getting a participation trophy.",2.0,0.0,10.0,12.0,1.3333333333333333,0.22473328748774737,2134
140,"No, thanks. I promised we'd visit your grandmother when I finished the walkway.",0.0,6.0,8.0,14.0,1.4285714285714286,0.13725270326150324,2133
141,"See, I told you size doesn't matter",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2130
142,"Stop complaining. The more you grow, the smaller YOUR shovel will appear too.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2126
143,Have you seen the mint chocolate chip?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2123
144,"I've told you before son, it's about quality, not quantity.",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,2121
145,Don't let my technique discourage you.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2119
146,I don't what's worse--the fact that you're standing on the lawn instead of helping or that we have our forced perspective shovels mixed up.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2118
147,Another snow job!,1.0,0.0,9.0,10.0,1.2,0.19999999999999998,2113
148,It's my fair share.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2112
149,It's an absolute law of physics --- opposites attract.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2111
150,"Shoveling snow?"" ""No, burying a groundhog - early end to winter my ass.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2110
151,You see how I’m lifting with my legs?,1.0,2.0,9.0,12.0,1.3333333333333333,0.18802535827258876,2137
152,"Wanna trade, Big Boy?",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2107
153,"Don't shovel snow on me, this isn't really a snowball.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2105
154,My doctor said 'no heavy lifting',2.0,1.0,10.0,13.0,1.3846153846153846,0.2129903554594378,2100
155,Just once I'd like to see you finish a snowjob!,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2099
156,Time for Daddy's Little Man to step up and pull his weight.,0.0,1.0,8.0,9.0,1.1111111111111112,0.11785113019775792,2097
157,At least it's quieter than your jet turbine leaf blower!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2096
158,I told you: size isn't everything.,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,2095
159,"Oh sure, but think of the job creation!",1.0,4.0,9.0,14.0,1.4285714285714286,0.1727058642362825,2092
160,I need a pick-me-up.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2081
161,Man up and get back to work.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2079
162,"...and I bet it's your bra I'm wearing, too.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2076
163,"Remembering back, Jack realized that his father always found ways to make him feel small and incompetent.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2073
164,The next storm is yours.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2072
165,"Son, I'm sorry, but we're going to have to let you go.",3.0,3.0,11.0,17.0,1.5294117647058822,0.19398391115107233,2068
166,"Thomas, you look tired? Would it be alright if Daddy uses the big shovel for a while?",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2063
167,Years of psychotherapy for not letting people walk all over him was clearly a colossal fail!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2106
168,"People are like pigs” JP's muttered during a rush-hour epiphany, “We look up only when we get knocked flat on our backs.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2060
169,"Son, it's not the size of the shovel that matters, but how you use it.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2138
170,"See son--it's not how big it is, it's how you use it.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2140
171,"I said ""No, thank you."", not ""Snow? Thank you!""",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2203
172,"Honestly, I only picked the little shovel because you wanted it.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2202
173,It's your Mom's idea.,1.0,5.0,9.0,15.0,1.4666666666666666,0.1652319197418807,2200
174,Your mom may be right about Tiger Parenting.,0.0,0.0,6.0,6.0,1.0,0.18257418583505536,2199
175,"When I was a boy, we used a shingle on a stick, and lots of elbow grease.",2.0,2.0,10.0,14.0,1.4285714285714286,0.20203050891044214,2198
176,Tell your mother I saw her shadow and will be back in six weeks.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2197
177,Put that away! I told the boss I'd be in when I was finished shoveling.,0.0,4.0,8.0,12.0,1.3333333333333333,0.14213381090374033,2194
178,"Attention to detail is important, son.",5.0,9.0,13.0,27.0,1.7037037037037037,0.14921269943217663,2193
179,You are shoveling snow - not election mud,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,2192
180,What do you think you're gonna do with that?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2191
181,"Betty, I think it's time we stop buying our snow shovels from the clearance section.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2189
182,"Hey hey, we're The Monkees... and people say we monkey around!",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2185
183,Sizable effort trumps sizable tools.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2184
184,"Yeah, but I read somewhere, in Florida they have a python infestation.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2182
185,"You mean it's not ""work harder, not smarter""?",0.0,0.0,9.0,9.0,1.0,0.11785113019775792,2139
186,"When you get bigger, you can have this shovel.",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,2181
187,"If memory serves, you eat peas one at a time.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2177
188,Who said rightsize?,0.0,0.0,6.0,6.0,1.0,0.18257418583505536,2176
189,I think we should trade shovels.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2173
190,"Bend your hips, and knees, and push your chest out. Lift the snow with your leg muscles, and keep your back straight. Like this.",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,2172
191,I don't need your help. I have an appointment with my proctologist when I finish.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2171
192,"Watch closely, this is how my father taught me.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2168
193,I suppose you want a participation trophy.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2165
194,Size is important but you have to know how to use it too.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2163
195,"I learned it all from reading ""Rich Dad, Poor Dad.""",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,2162
196,You want how much for that shovel?,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,2158
197,At least yours doesn't make your butt look big.,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,2153
198,What's bigger than mine?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2149
199,"It's called Zen and the Art of Snow Removal, son.",0.0,3.0,8.0,11.0,1.2727272727272727,0.14083575804390613,2147
200,It gets smaller as you get older.,2.0,4.0,10.0,16.0,1.5,0.18257418583505536,2145
201,"Just because you won the bet, Joey, please don't tell mommy that we could have been finished two hours ago!",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2180
202,I happen to like the snow.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2058
203,I don't know what this thing in my left hand is either. Ask the cartoonist.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2057
204,"You need to put your back into it, like me.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2056
205,The minimalist lifestyle allows no exceptions.,1.0,2.0,9.0,12.0,1.3333333333333333,0.18802535827258876,1992
206,"""...Then use this micro shovel for more intricate detailing of your shoveled path.. Got it?",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1988
207,I need to work on my negotiating skills.,1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,1987
208,Looks like you've got it covered when push comes to shovel.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1986
209,"No, as far as I know, there isn't 'an Uber for this'.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1984
210,"Please say, you see what I mean.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1979
211,I suppose you're going to complain about the wage gap too.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1978
212,You can't rush perfection.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1977
213,The story of modern day Sisyphus,1.0,2.0,9.0,12.0,1.3333333333333333,0.18802535827258876,1974
214,Hey - is that my hat?,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1971
215,Size doesn't matter; it's how you use it.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1969
216,"Sure, but does it build character?",2.0,7.0,10.0,19.0,1.5789473684210527,0.15886640593223536,1966
217,"No, I won't trade shovels.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1963
218,"Making snow cones, how about you?",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1962
219,Can we keep this quick? I've gotta go to the sandbox in half an hour.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1993
220,How much for the large shovel?,0.0,2.0,7.0,9.0,1.2222222222222223,0.1469861839480328,1961
221,It's all in the technique.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1953
222,Is that shovel big enough for you?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1951
223,Good heavens! It's a 'white out' .,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1950
224,They were still having fun after hours of shuffling!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1948
225,"Sorry Mom, I stepped on a crack!",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1947
226,Switch?,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1934
227,"When I get done shoveling, I'll give you something to reflect on.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1933
228,"It's not the size, it's how you use it.",0.0,5.0,8.0,13.0,1.3846153846153846,0.14044168141158103,1929
229,It's how you use the stick not the size of it.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1928
230,"Well, that's my perspective.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1927
231,"Snow, stocks, life, whatever. It's all about leverage.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1926
232,So ironic.,0.0,0.0,6.0,6.0,1.0,0.18257418583505536,1923
233,Sometimes bigger just isn't better!,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1920
234,Perhaps we should trade?,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,1919
235,"Not only that, but it also comes with 100 anytime minutes and 50 gigs of memory.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1958
236,Where's the challenge?,0.0,4.0,8.0,12.0,1.3333333333333333,0.14213381090374033,1994
237,You have to follow through. Like this.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,1998
238,The trowel troll strikes again.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2004
239,Was yours an impulse buy at Costco too?,0.0,1.0,6.0,7.0,1.1428571428571428,0.1543033499620919,2055
240,"Stop son, we told Mom we are only doing a little shoveling.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2054
241,"You see, it isn't the size of the tool that matters.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2052
242,Don't worry -- it'll get easier when you grow up.,1.0,2.0,9.0,12.0,1.3333333333333333,0.18802535827258876,2051
243,"This is my ""me"" time.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2049
244,It's called cross training.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2048
245,"You know, there's an app for that.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2046
246,"This is about pride, son. Your mother says small tools are ineffectual.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2045
247,"The global warming generation, ha! Can't even handle a little snow storm.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2043
248,Judge me when you're married.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2042
249,Make yourself useful and bring me the salt shaker for the sidewalk.,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,2038
250,Have you found your brother yet?,3.0,7.0,11.0,21.0,1.619047619047619,0.16148404721726828,2037
251,Fifteen bucks an hour and I'll tell the rest of the third grade to stand down.,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2036
252,It's all in the power to weight ratio.,0.0,3.0,8.0,11.0,1.2727272727272727,0.14083575804390613,2034
253,You know work is just another four letter word,0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2031
254,My boss wants me at work when I’m finished.,0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2029
255,"Would you please dig a six-foot hole and climb into it, son?",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2028
256,It's the spoon nine out of ten escaped convicts recommend,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,2005
257,"That's it, Hon. Just one heaping shovel at a time.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2006
258,"No, thanks. I'm working on a 12 step program.",0.0,1.0,7.0,8.0,1.125,0.1336306209562122,2009
259,"It's all about perspective, son.",0.0,0.0,7.0,7.0,1.0,0.1543033499620919,2011
