caption,funny,somewhat_funny,unfunny,count,score,precision,rank,contest
I don't think he understood when you said he could ride shotgun.,6.0,6.0,10.0,22.0,1.8181818181818181,0.1818181818181818,24,519
Xtreme Perching.,4.0,9.0,8.0,21.0,1.8095238095238089,0.1635768003554064,27,519
Thinks he's gonna be a big shot some day.,5.0,7.0,9.0,21.0,1.8095238095238089,0.17753668459340238,27,519
He's better at truth or dare than I thought.,5.0,7.0,9.0,21.0,1.8095238095238089,0.17753668459340238,27,519
"Cuckoo maybe, but he's definitely not a chicken.",5.0,7.0,9.0,21.0,1.8095238095238089,0.17753668459340238,27,519
Brave? You bet... at night he works a second job in the coal mine!,6.0,5.0,10.0,21.0,1.8095238095238089,0.1904761904761905,27,519
'Time to push him out of the nest' you said. 'Time to push him out of the nest.',3.0,10.0,7.0,20.0,1.8,0.15559732104309984,32,519
It must be nice to be on the endangered species list.,4.0,8.0,8.0,20.0,1.8,0.17167901505579045,32,519
"Whadya think ... decoy, thrill-seeker or just plain stupid?",5.0,6.0,9.0,20.0,1.8,0.18637822325921868,32,519
Not the best lookout we've ever had.,3.0,10.0,7.0,20.0,1.8,0.15559732104309984,32,519
Looks like he's been taking birdseed from the gun lobby again.,6.0,3.0,10.0,19.0,1.7894736842105263,0.21052631578947367,36,519
"So, it's true. She's been cheeping with the enemy.",5.0,5.0,9.0,19.0,1.7894736842105263,0.19614631381577105,36,519
Why don't you fly over and introduce yourself to her? It's worth a shot.,6.0,3.0,10.0,19.0,1.7894736842105263,0.21052631578947367,36,519
Never imagined he'd be on the No Fly List.,6.0,5.0,11.0,22.0,1.7727272727272727,0.18530211883830727,39,519
He likes to ride shotgun.,5.0,7.0,10.0,22.0,1.7727272727272727,0.1732278006468991,39,519
Now dare him to take his hat.,6.0,5.0,11.0,22.0,1.7727272727272727,0.18530211883830727,39,519
"Well, that should end the speculating over how they achieved their endangered species status.",5.0,7.0,10.0,22.0,1.7727272727272727,0.1732278006468991,39,519
Dave hasn't been himself since flying into that window.,5.0,6.0,10.0,21.0,1.761904761904762,0.18132793109199785,43,519
Those protected species are such smart-asses.,5.0,6.0,10.0,21.0,1.761904761904762,0.18132793109199785,43,519
Teenagers. They think they're invincible.,5.0,6.0,10.0,21.0,1.761904761904762,0.18132793109199785,43,519
Maybe we deserve to be endangered.,5.0,6.0,10.0,21.0,1.761904761904762,0.18132793109199785,43,519
He only chirps when the guy backs up.,6.0,4.0,11.0,21.0,1.761904761904762,0.19401475035679394,43,519
"If it's a battle of wits, let's call it a draw.",5.0,6.0,10.0,21.0,1.761904761904762,0.18132793109199785,43,519
He keeps his friends close and his enemies closer.,2.0,11.0,7.0,20.0,1.75,0.14281014264436984,49,519
I'm not surprised. His parents were stool pigeons.,6.0,3.0,11.0,20.0,1.75,0.2035862677614889,49,519
There! THAT’s what you call chutzpah.,5.0,5.0,10.0,20.0,1.75,0.19022147756317054,49,519
He's not brave. He's just not in season.,2.0,11.0,7.0,20.0,1.75,0.14281014264436984,49,519
Oh I'm going to have to tweet this.,6.0,3.0,11.0,20.0,1.75,0.2035862677614889,49,519
He's about to send his last tweet.,3.0,11.0,9.0,23.0,1.7391304347826086,0.14360396936430794,54,519
"When I was young, we sat on phone lines and waited for a freshly washed car.",2.0,10.0,7.0,19.0,1.7368421052631582,0.14989480254943036,55,519
Look ! He's riding shotgun!,5.0,4.0,10.0,19.0,1.7368421052631582,0.2000307763331821,55,519
"Like they say,'Keep your friends close, and your enemies closer'",5.0,4.0,10.0,19.0,1.7368421052631582,0.2000307763331821,55,519
"When you think about it, he's actually got the safest seat in the woods.",5.0,4.0,10.0,19.0,1.7368421052631582,0.2000307763331821,55,519
No wonder they're called mockingbirds.,4.0,6.0,9.0,19.0,1.7368421052631582,0.1848360307518024,55,519
"I tell you, they both need glasses.",4.0,8.0,10.0,22.0,1.7272727272727273,0.16358825651680675,60,519
"Technically, that is the safest place to be...",3.0,10.0,9.0,22.0,1.7272727272727273,0.1497735401905298,60,519
Well that's a mocking bird for ya.,3.0,7.0,8.0,18.0,1.7222222222222223,0.1772254491889706,62,519
You should see what this guy does during elk season,2.0,9.0,7.0,18.0,1.7222222222222223,0.15771148381717198,62,519
"They follow each other on Twitter, too.",4.0,7.0,10.0,21.0,1.7142857142857142,0.1710312856768378,64,519
"Guns don't kill birds, people kill birds.",5.0,5.0,11.0,21.0,1.7142857142857142,0.18442777839082936,64,519
"Oh, to be young and stupid again.",4.0,7.0,10.0,21.0,1.7142857142857142,0.1710312856768378,64,519
What do you think Darwin would say about this?,5.0,5.0,11.0,21.0,1.7142857142857142,0.18442777839082936,64,519
"Well, you did tell him to ""keep your friends close and your enemies closer""",4.0,7.0,10.0,21.0,1.7142857142857142,0.1710312856768378,64,519
"With plumage less impressive than that of his male competitors, Fred tries desperately to cultivate a 'bad boy' image.",5.0,5.0,11.0,21.0,1.7142857142857142,0.18442777839082936,64,519
I believe they call it 'Stockholm Syndrome',3.0,9.0,9.0,21.0,1.7142857142857142,0.15649215928719032,64,519
About time someone gave him the bird.,3.0,9.0,9.0,21.0,1.7142857142857142,0.15649215928719032,64,519
Studies show that it's safer than flying.,5.0,5.0,11.0,21.0,1.7142857142857142,0.18442777839082936,64,519
He's been watching too many Disney movies..,3.0,9.0,9.0,21.0,1.7142857142857142,0.15649215928719032,64,519
"Okay, now poop on it or the bet is off!",3.0,8.0,9.0,20.0,1.7,0.1638356043818251,74,519
"I'm really OK with being ""the two in the bush"".",4.0,6.0,10.0,20.0,1.7,0.17917941611104424,74,519
That is YOUR child.,4.0,6.0,10.0,20.0,1.7,0.17917941611104424,74,519
Looks like they've got each others' backs.,4.0,6.0,10.0,20.0,1.7,0.17917941611104424,74,519
You never know who you'll get when you call for an Uber ride.,3.0,8.0,9.0,20.0,1.7,0.1638356043818251,74,519
"Well, it's better than that job in the coalmines.",3.0,8.0,9.0,20.0,1.7,0.1638356043818251,74,519
"Yes, but it's that self-destructive personality that makes his songs so memorable.",5.0,4.0,11.0,20.0,1.7,0.1933091333916522,74,519
And I thought we were cuckoo.,5.0,6.0,12.0,23.0,1.6956521739130437,0.1714248888711576,81,519
Apparently that is a mocking bird.,2.0,9.0,8.0,19.0,1.6842105263157894,0.1539467436384583,82,519
"I like the symbolism, but I would've pooped on that hat.",5.0,3.0,11.0,19.0,1.6842105263157894,0.2030848579436882,82,519
"Mockingbird, pretty sure.",5.0,3.0,11.0,19.0,1.6842105263157894,0.2030848579436882,82,519
"One thing's for sure, he's no chicken.",2.0,9.0,8.0,19.0,1.6842105263157894,0.1539467436384583,82,519
"It gives new meaning to ""I ride shotgun.""",4.0,5.0,10.0,19.0,1.6842105263157894,0.1881369349958528,82,519
Keep your friends close and your enemies closer.,4.0,5.0,10.0,19.0,1.6842105263157894,0.1881369349958528,82,519
I think we can cancel his college fund.,3.0,9.0,10.0,22.0,1.6818181818181819,0.15270098722473827,88,519
It's called riding shotgun.,3.0,9.0,10.0,22.0,1.6818181818181819,0.15270098722473827,88,519
"Well, you know what they say, ""Keep your friends close and your enemies closer!""",4.0,7.0,11.0,22.0,1.6818181818181819,0.16627265508319164,88,519
He always rides shotgun when he travels,2.0,11.0,9.0,22.0,1.6818181818181819,0.1377990826181559,88,519
Apparently his last stunt had 4 million views.,4.0,7.0,11.0,22.0,1.6818181818181819,0.16627265508319164,88,519
"I think they call it ""riding shot gun.""",3.0,9.0,10.0,22.0,1.6818181818181819,0.15270098722473827,88,519
Wing man.,5.0,5.0,12.0,22.0,1.6818181818181819,0.17881722556123708,88,519
"If you're not going to tweet about this, I am.",5.0,5.0,12.0,22.0,1.6818181818181819,0.17881722556123708,88,519
Did she always take this position on guns?,5.0,5.0,12.0,22.0,1.6818181818181819,0.17881722556123708,88,519
It must be great to be endangered.,5.0,5.0,12.0,22.0,1.6818181818181819,0.17881722556123708,88,519
He's still technically ahead of the game.,2.0,10.0,9.0,21.0,1.6666666666666667,0.14364860122855574,98,519
She thinks the season doesn't open till tomorrow.,3.0,8.0,10.0,21.0,1.6666666666666667,0.15936381457791912,98,519
How does he always get to ride Shotgun?,4.0,6.0,11.0,21.0,1.6666666666666667,0.1736626907505759,98,519
I get the feeling we have nothing to worry about.,5.0,4.0,12.0,21.0,1.6666666666666667,0.18687063686046268,98,519
"The sparrows call that ""riding shotgun"".",3.0,8.0,10.0,21.0,1.6666666666666667,0.15936381457791912,98,519
I'd say they're both endangered species.,4.0,6.0,11.0,21.0,1.6666666666666667,0.1736626907505759,98,519
"You know what they say, you can't pick your kid's friends.",4.0,4.0,10.0,18.0,1.6666666666666667,0.19802950859533489,98,519
Why does SHE get to ride shotgun?!,4.0,6.0,11.0,21.0,1.6666666666666667,0.1736626907505759,98,519
"Someone really should explain to Larry what ""riding shotgun"" means.",6.0,2.0,13.0,21.0,1.6666666666666667,0.19920476822239894,98,519
"I give her a '10' for her first solo flight, a '1' for the landing.",3.0,8.0,10.0,21.0,1.6666666666666667,0.15936381457791912,98,519
I guess it's like being a gay Republican.,5.0,4.0,12.0,21.0,1.6666666666666667,0.18687063686046268,98,519
I'd say he has him over a barrel.,2.0,10.0,9.0,21.0,1.6666666666666667,0.14364860122855574,98,519
"They get radicalised on Twitter these days, you know.",3.0,8.0,10.0,21.0,1.6666666666666667,0.15936381457791912,98,519
Bye-bye birdie.,5.0,4.0,12.0,21.0,1.6666666666666667,0.18687063686046268,98,519
I think we can stop worrying about his college fund.,4.0,6.0,11.0,21.0,1.6666666666666667,0.1736626907505759,98,519
"Sweetie, we might be empty nesters sooner than we thought.",4.0,6.0,11.0,21.0,1.6666666666666667,0.1736626907505759,98,519
This is why we're endangered.,3.0,8.0,10.0,21.0,1.6666666666666667,0.15936381457791912,98,519
I'm pretty sure that's a Mockingbird.,4.0,6.0,11.0,21.0,1.6666666666666667,0.1736626907505759,98,519
Guns don't kill birds.,5.0,4.0,12.0,21.0,1.6666666666666667,0.18687063686046268,98,519
She's always attracted to the wrong guy.,3.0,8.0,10.0,21.0,1.6666666666666667,0.15936381457791912,98,519
That's a Double-barreled Warbler.,4.0,6.0,11.0,21.0,1.6666666666666667,0.1736626907505759,98,519
Best he could do after they shot his hippo.,5.0,4.0,12.0,21.0,1.6666666666666667,0.18687063686046268,98,519
"Help me, Dear. Is that irony or coincidence?",6.0,3.0,14.0,23.0,1.6521739130434785,0.1844626385704037,120,519
Three to one he notices the squirrel in his pants first.,4.0,7.0,12.0,23.0,1.6521739130434785,0.16162093517992784,120,519
I’m not one to interfere with natural selection.,5.0,5.0,13.0,23.0,1.6521739130434785,0.17341826852553602,120,519
A few years in a cage and now he's a stool pigeon.,5.0,5.0,13.0,23.0,1.6521739130434785,0.17341826852553602,120,519
He's going to have lot of fun tweeting about this.,5.0,3.0,12.0,20.0,1.65,0.1956769625791716,124,519
She always rides shotgun.,5.0,3.0,12.0,20.0,1.65,0.1956769625791716,124,519
"He knows, right? He has to know.",2.0,9.0,9.0,20.0,1.65,0.14999999999999994,124,519
Claimed they tweeted a few times and one thing led to another...,6.0,1.0,13.0,20.0,1.65,0.2086926725569141,124,519
"Bird 1: ""There goes another gun-toting Trump supporter finally leaving the woods to attend a rally."" Bird 2: ""And there goes another tree-hugging Sanders supporter catching a free ride.""",5.0,3.0,12.0,20.0,1.65,0.1956769625791716,124,519
"He's taken ""riding shotgun"" to a new level.",4.0,5.0,11.0,20.0,1.65,0.18173143863810048,124,519
Which one of us should tell him that's not a branch?,3.0,7.0,10.0,20.0,1.65,0.1666228012450182,124,519
I think it's time for the talk.,3.0,7.0,10.0,20.0,1.65,0.1666228012450182,124,519
I told you we should have tried harder to get into the good preschool.,4.0,5.0,11.0,20.0,1.65,0.18173143863810048,124,519
Someone should tell him hitchhiking is dangerous,4.0,5.0,11.0,20.0,1.65,0.18173143863810048,124,519
"Honey, when exactly were you planning to teach Junior about hunting season?",3.0,5.0,9.0,17.0,1.6470588235294117,0.1906100205414077,134,519
He always was a strange bird.,5.0,4.0,13.0,22.0,1.6363636363636365,0.18073269043418272,135,519
By the looks of things his aversion therapy is going very well.,5.0,4.0,13.0,22.0,1.6363636363636365,0.18073269043418272,135,519
They met wintering in Florida.,3.0,8.0,11.0,22.0,1.6363636363636365,0.1549396551356994,135,519
We were all rebels at his age,3.0,8.0,11.0,22.0,1.6363636363636365,0.1549396551356994,135,519
"Yeah, he always has to ride shotgun.",3.0,8.0,11.0,22.0,1.6363636363636365,0.1549396551356994,135,519
"I know what they say about keeping your enemies close, but that's just ridiculous.",5.0,4.0,13.0,22.0,1.6363636363636365,0.18073269043418272,135,519
Next time I get to ride shotgun.,5.0,4.0,13.0,22.0,1.6363636363636365,0.18073269043418272,135,519
"Relax, it's just Dick Cheney.",5.0,4.0,13.0,22.0,1.6363636363636365,0.18073269043418272,135,519
Our scout seems to be getting somewhat reckless.,2.0,10.0,10.0,22.0,1.6363636363636365,0.14027577269281086,135,519
When do you think he'll realize that's not him whistling?,3.0,8.0,11.0,22.0,1.6363636363636365,0.1549396551356994,135,519
An NRA membership does have its benefits.,4.0,6.0,12.0,22.0,1.6363636363636365,0.16833092723137302,135,519
One thing I'll say for her: She always stuck to her guns.,2.0,10.0,10.0,22.0,1.6363636363636365,0.14027577269281086,135,519
Keep your friends close. Keep your enemies closer.,3.0,6.0,10.0,19.0,1.631578947368421,0.17455919949238946,147,519
I just hope riding shotgun doesn’t backfire on him.,4.0,4.0,11.0,19.0,1.631578947368421,0.19057509633684588,147,519
""" I've seen this before: rich guy, young chick"".",4.0,4.0,11.0,19.0,1.631578947368421,0.19057509633684588,147,519
He's got him over a barrel.,5.0,2.0,12.0,19.0,1.631578947368421,0.2053456124687653,147,519
He believes in keeping his enemies closer,3.0,6.0,10.0,19.0,1.631578947368421,0.17455919949238946,147,519
I can't decide whether Freud or Darwin would have more to say.,3.0,6.0,10.0,19.0,1.631578947368421,0.17455919949238946,147,519
Should we tell him it's not a branch?,3.0,6.0,10.0,19.0,1.631578947368421,0.17455919949238946,147,519
I heard he wanted to be a decoy.,2.0,9.0,10.0,21.0,1.619047619047619,0.14599723539767515,154,519
He's been tweeting about it all morning.,4.0,5.0,12.0,21.0,1.619047619047619,0.1756103706151026,154,519
He's the one they call Birdie Sanders.,5.0,3.0,13.0,21.0,1.619047619047619,0.18868202624913288,154,519
She used to live on the hippo he shot.,2.0,9.0,10.0,21.0,1.619047619047619,0.14599723539767515,154,519
He said it was something about keeping your enemies closer.,4.0,5.0,12.0,21.0,1.619047619047619,0.1756103706151026,154,519
It all makes sense once you've met his wife.,4.0,5.0,12.0,21.0,1.619047619047619,0.1756103706151026,154,519
"Well, look who's going all Second Amendment on us.",3.0,7.0,11.0,21.0,1.619047619047619,0.16148404721726828,154,519
Said he's riding shotgun.,4.0,5.0,12.0,21.0,1.619047619047619,0.1756103706151026,154,519
"Gotta hand it to Larry, this is gonna be an awesome selfie.",5.0,3.0,13.0,21.0,1.619047619047619,0.18868202624913288,154,519
"Not what I meant when I said, ""Give him the bird.""",1.0,11.0,9.0,21.0,1.619047619047619,0.12865958177244088,154,519
"Sure gives new meaning to ""riding shotgun"".",3.0,7.0,11.0,21.0,1.619047619047619,0.16148404721726828,154,519
I can't decide if the dodo is on the left or on the right.,4.0,5.0,12.0,21.0,1.619047619047619,0.1756103706151026,154,519
She's riding shotgun.,2.0,9.0,10.0,21.0,1.619047619047619,0.14599723539767515,154,519
I hear that little bird tells him everything.,3.0,7.0,11.0,21.0,1.619047619047619,0.16148404721726828,154,519
Perhaps a few more days in the shell would have helped.,4.0,5.0,12.0,21.0,1.619047619047619,0.1756103706151026,154,519
Better than working the coal mines.,4.0,5.0,12.0,21.0,1.619047619047619,0.1756103706151026,154,519
"He's your son, you go get him!",4.0,5.0,12.0,21.0,1.619047619047619,0.1756103706151026,154,519
It took us years to get somebody in the inside.,2.0,9.0,10.0,21.0,1.619047619047619,0.14599723539767515,154,519
...I hear he tweets for the NRA,5.0,3.0,13.0,21.0,1.619047619047619,0.18868202624913288,154,519
You've gotta love mockingbirds.,5.0,3.0,13.0,21.0,1.619047619047619,0.18868202624913288,154,519
Looks like she's riding shotgun.,5.0,3.0,13.0,21.0,1.619047619047619,0.18868202624913288,154,519
Millenial.,5.0,3.0,13.0,21.0,1.619047619047619,0.18868202624913288,154,519
"First the bungee jumping, now this!",5.0,3.0,13.0,21.0,1.619047619047619,0.18868202624913288,154,519
"Bob always says, ""Keep your friends close and your enemies closer.""",3.0,7.0,11.0,21.0,1.619047619047619,0.16148404721726828,154,519
I said the gun was loaded with bird shot not bird seed.,2.0,9.0,10.0,21.0,1.619047619047619,0.14599723539767515,154,519
His protected species request must have been approved.,5.0,3.0,13.0,21.0,1.619047619047619,0.18868202624913288,154,519
"Now, that's what I call a Mocking Bird!",2.0,9.0,10.0,21.0,1.619047619047619,0.14599723539767515,154,519
That's why he's called cuckoo.,2.0,9.0,10.0,21.0,1.619047619047619,0.14599723539767515,154,519
She could've picked any branch on any tree ... but no - not my daughter!,3.0,5.0,10.0,18.0,1.6111111111111112,0.1832689528471889,182,519
He always was a few twigs short of a full nest.,4.0,3.0,11.0,18.0,1.6111111111111112,0.20030840419244386,182,519
Everyone will be tweeting about this.,3.0,5.0,10.0,18.0,1.6111111111111112,0.1832689528471889,182,519
"He may be riding shotgun, but I'm branch manager.",3.0,5.0,10.0,18.0,1.6111111111111112,0.1832689528471889,182,519
"I knew he'd sing, but I didn't think they could turn him.",3.0,8.0,12.0,23.0,1.608695652173913,0.15061311370164152,186,519
Think he'll beat Fred's record of 45 seconds?,4.0,6.0,13.0,23.0,1.608695652173913,0.16320808554990182,186,519
"yeah, but to win the bet he still has to poop in the barrel",5.0,4.0,14.0,23.0,1.608695652173913,0.17489839438606788,186,519
Do you think they know about each other?,5.0,4.0,14.0,23.0,1.608695652173913,0.17489839438606788,186,519
Tweety Tweety Bang Bang.,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
Mockingbird...,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
He keeps tweeting about the second amendment..,2.0,8.0,10.0,20.0,1.6,0.1521771820505364,190,519
I wonder what Darwin would say about that?,4.0,4.0,12.0,20.0,1.6,0.1835325870964494,190,519
I've warned him it can be dangerous riding shotgun.,2.0,8.0,10.0,20.0,1.6,0.1521771820505364,190,519
"Well, you shouldn't have told him he can ride shotgun.",4.0,4.0,12.0,20.0,1.6,0.1835325870964494,190,519
Nothing like hiding in plain sight!,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
It beats working in the mines.,2.0,8.0,10.0,20.0,1.6,0.1521771820505364,190,519
We're harder to shoot once you get to know us.,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
The NRA's twitter strategy is a little too...literal.,2.0,8.0,10.0,20.0,1.6,0.1521771820505364,190,519
Hiding in plain sight... why didn't we think of that?,4.0,4.0,12.0,20.0,1.6,0.1835325870964494,190,519
"Well, that's something to tweet about...",4.0,4.0,12.0,20.0,1.6,0.1835325870964494,190,519
That is living on the edge,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
He's seriously worth two of us?,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
She's official bird of the NRA.,2.0,8.0,10.0,20.0,1.6,0.1521771820505364,190,519
Earl sure does love riding shotgun.,4.0,4.0,12.0,20.0,1.6,0.1835325870964494,190,519
I gotta tweet this.,4.0,4.0,12.0,20.0,1.6,0.1835325870964494,190,519
I'm glad we're the two in the bush.,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
Oh-oh. Bye-Bye Birdie!,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
We have a stool pigeon on our hands.,3.0,6.0,11.0,20.0,1.6,0.16858544608470488,190,519
"Do YOU want to tell him what ""riding shotgun"" really means?",4.0,4.0,12.0,20.0,1.6,0.1835325870964494,190,519
They both forgot their glasses.,4.0,5.0,13.0,22.0,1.5909090909090908,0.16978584561937995,211,519
Looks like the NRA is trying to soften its image!,2.0,9.0,11.0,22.0,1.5909090909090908,0.14201839569111904,211,519
"Now mother, we have to let him make his own mistakes.",2.0,9.0,11.0,22.0,1.5909090909090908,0.14201839569111904,211,519
It's a Cuckoo Glock.,4.0,5.0,13.0,22.0,1.5909090909090908,0.16978584561937995,211,519
That's his stool pigeon.,4.0,5.0,13.0,22.0,1.5909090909090908,0.16978584561937995,211,519
Embarrassing—just one twitter follower.,4.0,5.0,13.0,22.0,1.5909090909090908,0.16978584561937995,211,519
He gets this from your side of the family.,2.0,9.0,11.0,22.0,1.5909090909090908,0.14201839569111904,211,519
"Once again we see the formidable hunter, totally in tune with his surroundings, continue on his quest for his elusive quarry.",2.0,9.0,11.0,22.0,1.5909090909090908,0.14201839569111904,211,519
He flew into the same window four times yesterday.,3.0,7.0,12.0,22.0,1.5909090909090908,0.15651910121031104,211,519
"It's either very, very stupid or pure genius.",3.0,7.0,12.0,22.0,1.5909090909090908,0.15651910121031104,211,519
Say hello to my little friend.,4.0,5.0,13.0,22.0,1.5909090909090908,0.16978584561937995,211,519
"It's called ""riding shotgun"" and it's a lot safer than it looks.",2.0,9.0,11.0,22.0,1.5909090909090908,0.14201839569111904,211,519
Maybe we raised him to be a little too trusting.,4.0,5.0,13.0,22.0,1.5909090909090908,0.16978584561937995,211,519
He likes to live on the edge.,3.0,7.0,12.0,22.0,1.5909090909090908,0.15651910121031104,211,519
He's much nicer since he's gone vegan.,1.0,11.0,10.0,22.0,1.5909090909090908,0.12585793731694053,211,519
Do you think our son is right-winged?,3.0,7.0,12.0,22.0,1.5909090909090908,0.15651910121031104,211,519
Now that's what I call riding shotgun,3.0,7.0,12.0,22.0,1.5909090909090908,0.15651910121031104,211,519
"I guess, if you can't beat them, join them.",3.0,7.0,12.0,22.0,1.5909090909090908,0.15651910121031104,211,519
I'm starting to think he's not college material.,5.0,3.0,14.0,22.0,1.5909090909090908,0.1820885435761741,211,519
There he goes taking rides with strangers again.,2.0,9.0,11.0,22.0,1.5909090909090908,0.14201839569111904,211,519
Stockholm Syndrome,3.0,7.0,12.0,22.0,1.5909090909090908,0.15651910121031104,211,519
Looks like somebody cut himself a deal.,2.0,9.0,11.0,22.0,1.5909090909090908,0.14201839569111904,211,519
"Not exactly a pear tree, is it?",2.0,7.0,10.0,19.0,1.5789473684210529,0.15886640593223536,233,519
"She's cute, Bob. You should just go over and talk to her. What's the worst that could happen?",3.0,5.0,11.0,19.0,1.5789473684210529,0.17631360738808574,233,519
He hasn't been the same since his dog left him.,4.0,3.0,12.0,19.0,1.5789473684210529,0.19218335351058446,233,519
She needed something to Tweet about.,2.0,7.0,10.0,19.0,1.5789473684210529,0.15886640593223536,233,519
Jerry's a staunch supporter of the second amendment.,3.0,5.0,11.0,19.0,1.5789473684210529,0.17631360738808574,233,519
Stockholm syndrome or just cuckoo?,5.0,1.0,13.0,19.0,1.5789473684210529,0.2068390547816069,233,519
I'll take truth,4.0,3.0,12.0,19.0,1.5789473684210529,0.19218335351058446,233,519
That taxidermist isn't fooling anyone!!,1.0,9.0,9.0,19.0,1.5789473684210529,0.13925006900339948,233,519
Epic quail.,2.0,7.0,10.0,19.0,1.5789473684210529,0.15886640593223536,233,519
Ya gotta think that has to be worth at least two of us.,3.0,5.0,11.0,19.0,1.5789473684210529,0.17631360738808574,233,519
Our wing man.,4.0,3.0,12.0,19.0,1.5789473684210529,0.19218335351058446,233,519
I think it's called hubris.,3.0,6.0,12.0,21.0,1.5714285714285714,0.16288220358559116,244,519
"It's the whistling ""Oh What a Beautiful Morning"" that really gets on my nerves!",3.0,6.0,12.0,21.0,1.5714285714285714,0.16288220358559116,244,519
Look at who's calling the shots now!,3.0,6.0,12.0,21.0,1.5714285714285714,0.16288220358559116,244,519
Apparantly she is auditioning for the lead in Bye Bye Birdie,4.0,4.0,13.0,21.0,1.5714285714285714,0.1768969106762544,244,519
"When I told him to ride shotgun, this isn't exactly what I meant.",4.0,4.0,13.0,21.0,1.5714285714285714,0.1768969106762544,244,519
"Technically, its the safest place to be if you think about it",1.0,10.0,10.0,21.0,1.5714285714285714,0.1304101327393253,244,519
"Darn, I bet him four worms he couldn't get away with that.",2.0,8.0,11.0,21.0,1.5714285714285714,0.14754222271266354,244,519
The alternative was Uber...,2.0,8.0,11.0,21.0,1.5714285714285714,0.14754222271266354,244,519
It may be rabbit season but he's really pressing his luck.,2.0,8.0,11.0,21.0,1.5714285714285714,0.14754222271266354,244,519
"I could be brave, too if I were out of season.",3.0,6.0,12.0,21.0,1.5714285714285714,0.16288220358559116,244,519
Youngsters today...always pushing the boundaries!,2.0,8.0,11.0,21.0,1.5714285714285714,0.14754222271266354,244,519
Let's tweet this.,4.0,4.0,13.0,21.0,1.5714285714285714,0.1768969106762544,244,519
"I've heard of hiding in plain sight, but never hiding as the sight.",1.0,10.0,10.0,21.0,1.5714285714285714,0.1304101327393253,244,519
I finally get the birdbrain thing.,4.0,4.0,13.0,21.0,1.5714285714285714,0.1768969106762544,244,519
"Well, Gary has been going to a therapist but he still isn't exactly facing his fears...",3.0,6.0,12.0,21.0,1.5714285714285714,0.16288220358559116,244,519
