,unfunny,somewhat funny,funny,caption,score,precision
32,61,26,16,I hear you hire illegal aliens.,1.5631067961165048,0.0738770271235363
33,61,19,18,Can you direct us to a planet with intelligent life?,1.5612244897959184,0.07953463232076563
34,55,32,11,"Excuse me, do you have jumper cables?",1.5510204081632653,0.06974820057311762
35,67,11,22,"So you must be the interstellar legend, the Farmer in the Dell.",1.55,0.08333333333333333
36,62,21,17,We come to take your jobs.,1.55,0.07703468981143129
37,62,24,16,'Is that what you're wearing? ',1.5490196078431373,0.07454964245738935
38,63,15,19,Welcome. I am a genetically modified potato from the future.,1.5463917525773196,0.08162416300058307
39,62,23,16,"Sorry about the crop circles, I needed to jot something down.",1.5445544554455446,0.07515627609642908
40,53,31,10,"Sorry you had to climb the stairs, our abduction beam is broken.",1.5425531914893618,0.07040246691523941
41,56,31,11,"Not to worry. What happens on Venus, stays on Venus.",1.5408163265306123,0.06981742193934723
42,56,31,11,"You look just like all our movies, too!",1.5408163265306123,0.06981742193934723
43,59,25,14,What do I have to do to get you into this spaceship today?,1.5408163265306123,0.07420008566997251
44,55,33,10,Remember that what happens on Venus stays on Venus.,1.5408163265306123,0.06829406248373307
45,60,23,15,"Getting so many volunteers is nice, but truthfully I miss the abductions.",1.5408163265306123,0.07560453788732567
46,64,18,18,Welcome aboard. It's good to eat you.,1.54,0.07839294959021854
47,61,24,15,I have travelled the galaxy in search of another species that wears one-piece clothing.,1.54,0.0744271048704297
48,62,22,16,"Well, no. The truth is we won't probe you anywhere unless your primary care physician has made a referral to us for that sort of thing.",1.54,0.07577211981602562
49,63,23,16,Your crop circle design won. Please come with us.,1.53921568627451,0.07460706441653131
50,63,16,18,Take me to your lesser of two evils,1.5360824742268042,0.08035287251608195
51,59,27,13,We just come down here once in a while to feel good about ourselves.,1.5353535353535352,0.07223660035084459
52,54,30,10,Lets keep in touch on Spacebook.,1.5319148936170213,0.07046293901282416
53,59,20,15,"Hello, do you have a moment to talk about Jesus Christ?",1.5319148936170213,0.07815963645866597
54,60,21,15,"In our civilization, we reproduce through handshakes.",1.53125,0.07688155192447528
55,59,22,14,E. I. E. I. O. Signal received.,1.5263157894736843,0.07607697119404792
56,58,24,13,"Don't worry Sir, I will have her home by 11 p.m.",1.5263157894736843,0.07459049121923328
57,55,26,11,"Honey, dinner's here.",1.5217391304347827,0.07327937246229366
58,59,24,13,"Nah, we're a weather balloon.",1.5208333333333333,0.07401275178576043
59,63,16,17,EIEIO,1.5208333333333333,0.07971875820255059
60,57,15,15,Can I use your bathroom? It's been a long trip.,1.5172413793103448,0.08314531416731243
61,56,23,12,Welcome. We've heard amazing jokes about your daughter.,1.5164835164835164,0.07553252113571869
62,55,28,10,Congratulations! You're our one millionth abductee!,1.5161290322580645,0.07107815797318978
63,59,20,14,We heard you had universal health care.,1.5161290322580645,0.07737648805449929
64,60,18,15,"No, anal probe is just a common alien surname",1.5161290322580645,0.07887252369706868
65,58,25,12,"Where I'm from, everybody is genetically modified.",1.5157894736842106,0.07310603429034505
66,64,13,18,Since you did have polyps removed I will have to see you again in 5 years.,1.5157894736842106,0.0817818882397686
67,62,20,15,We've come to bring the Kardashians home.,1.5154639175257731,0.07631071474640018
68,60,14,16,It's nothing you've done -- We're just going in a different direction with our abductions.,1.5111111111111108,0.08247792341770609
69,53,28,9,"You should have no more problems with your satellite service now, sir.",1.5111111111111108,0.07109706478002936
70,54,26,10,We're not from around here.,1.5111111111111108,0.07283186466425955
71,55,24,11,Your cows said very nice things about you.,1.5111111111111108,0.07452629335080571
72,58,21,13,Take me from my leaders.,1.5108695652173914,0.07649538865683334
73,58,21,13,Pull my finger.,1.5108695652173914,0.07649538865683334
74,59,22,13,Would you like to watch a 30-minute video about a time-share opportunity?,1.5106382978723405,0.07524030115035442
75,59,12,16,I speak your language... E I E I O!,1.5057471264367817,0.08475567227308224
76,57,19,13,"We live fifty seven light years away, so we just started receiving Bonanza.",1.5056179775280898,0.07848735203472189
77,61,11,17,"'Oh no, it's an earthling!' Just kidding, we've probed you and erased your memory like 50 times. Come on in.",1.5056179775280898,0.08474499919803569
78,59,15,15,We come in peace - and for the cronuts.,1.5056179775280898,0.08167612661756626
79,54,25,10,Are you the farmer who has the daughter' we've heard so much about?,1.5056179775280898,0.07344505827271725
80,55,23,11,Sorry about the crop circles. We were just messing with you.,1.5056179775280898,0.07516341663067219
81,57,22,12,"Hi, we're the new owners.",1.5054945054945057,0.07555028304569633
82,59,18,14,We're here to help. We understand there's something the matter with Kansas.,1.5054945054945057,0.07871623566130001
83,60,16,15,We've come for all the extra gluten.,1.5054945054945057,0.08025238937804632
84,60,19,14,There's a two drink minimum.,1.5053763440860215,0.07739272826625426
85,61,20,14,Your race isn't as orange as your television signals had us believe.,1.5052631578947369,0.07612343987670361
86,56,30,9,I suppose my dating profile was a bit misleading.,1.5052631578947369,0.06837365918242709
87,58,19,13,"Take me to your leader - just kidding, we're abducting you.",1.5,0.0778134393008702
88,55,22,11,Sorry we do have a dress code.,1.5,0.07580980435789034
89,55,22,11,Is there a gender neutral bathroom around here?,1.5,0.07580980435789034
90,62,11,17,Then it's agreed--we'll take you away from here no matter who wins in November.,1.5,0.08398620658405477
91,66,17,16,Welcome aboard--Just a reminder that Economy class is self-probing.,1.4949494949494953,0.07647907647907648
92,61,24,12,"Don't worry, we're not Mexican or Muslim.",1.4948453608247425,0.07198061878231413
93,58,21,12,I bet your almanac didn't predict this.,1.4945054945054943,0.07555028304569633
94,57,20,12,"And you've only had clear liquids for the past 24 hours, correct?",1.4943820224719102,0.07684335894863775
95,61,12,16,"Don’t worry, you won’t remember a thing.",1.4943820224719102,0.08322470951683696
96,53,28,8,It was so nice of your wife to volunteer you.,1.4943820224719102,0.06988169542059264
97,55,21,11,"Congratulations, just attend one timeshare presentation, and we’ll have you home by yesterday!",1.4942528735632183,0.07646556709168151
98,58,12,15,E-I-E-I-O' I presume?,1.4941176470588236,0.08471988679750292
99,51,26,8,I don't probe on the first abduction.,1.4941176470588236,0.07222655263306024
100,62,12,16,"Whoa, wait, you guys are the masters of this planet? We had our money on Jack Russell terriers!",1.4888888888888892,0.08247792341770609
101,55,23,10,We're looking forward to meeting your daughter...,1.4886363636363635,0.07405679670635239
102,57,16,13,Klaatu barada nikto . . . just messing with you.,1.4883720930232558,0.08059998344582292
103,58,14,14,"Congratulations, you've won the Caption Contest.",1.4883720930232558,0.08227973713305385
104,57,16,13,Does Earth still have any leaders worth taking me to?,1.4883720930232558,0.08059998344582292
105,55,17,12,You look like the type of gentleman who knows a good deal on a time share when he sees one. Am I right?,1.488095238095238,0.08032858441548751
106,54,19,11,We come seeking peas.,1.488095238095238,0.07852273391541613
107,53,26,8,"What I meant was, we would like to have you stay for dinner.",1.4827586206896552,0.07100694207926107
108,60,12,15,I come in peace. And also for your job.,1.4827586206896552,0.08314531416731243
109,56,20,11,"And, I promise to make the universe great again.",1.4827586206896552,0.07644547365628225
110,57,18,12,Actually we can't claim any credit for the pyramids but we shared some ideas with that guy who developed the lava lamp,1.4827586206896552,0.07817428380800989
111,53,23,9,"Hello there, is this your first ride with Uber?",1.4823529411764709,0.07411809167978327
112,55,16,12,Our intelligence says you're supposed to introduce me to your daughter and offer me a place to sleep tonight.,1.4819277108433735,0.08106230807906749
113,53,20,10,"Before annihilating your planet, may I use your facilities?",1.4819277108433735,0.0773523178099076
114,48,24,7,Are you organic?,1.4810126582278482,0.0739763190388416
115,60,14,14,"Normally, I say, 'Take me to your leader,' but we've been following your election process, so don't bother.",1.4772727272727273,0.08077678120756704
116,52,24,8,I should have called first.,1.4761904761904765,0.07280186819496158
117,59,10,15,Just stopped by to let you know that we will be using crop SQUARES from now on...,1.4761904761904765,0.08548768414918383
118,56,13,13,"Alien? No, no, no. I'm Mexican. I just used this to get over your wall.",1.4756097560975612,0.08362750202823561
119,50,22,8,Do they still think you're Amish?,1.475,0.07542076066469036
120,54,28,7,Come on in. I have candy.,1.4719101123595506,0.06796676402000262
121,60,13,14,Another choosing anal probes over President Trump!,1.4712643678160917,0.08148429324342787
122,51,28,6,We heard you hire alien workers.,1.4705882352941178,0.06816571358209496
123,57,16,12,Your GMO corn called us: we need to replace your field management chip.,1.4705882352941178,0.07954392985680157
124,53,24,8,I got your friend request.,1.4705882352941178,0.07215808061327615
125,61,8,16,"Thank God you’re still here.....you haven’t noticed any keys rattling around in your anus, have you?",1.4705882352941178,0.08629997077830025
126,56,15,12,We have come to take your jobs.,1.4698795180722892,0.08101862049406781
127,52,20,9,You're over analyzing it. Sometimes a crop circle is just a crop circle.,1.469135802469136,0.07675200514750398
128,55,14,12,Mr. Hoffa will see you now.,1.469135802469136,0.0825638917450504
129,54,13,12,"Congrats, you're our one millionth abductee!",1.4683544303797469,0.08418508503306027
130,50,21,8,"Oh, no thank you. Just tell your leaders that we say, ""Hi.""",1.4683544303797469,0.07608448437579868
131,53,15,11,Mr. MacDonald? My name is EIEIO. I hear you've been trying to reach me for some time.,1.4683544303797469,0.08223477729768885
132,53,23,8,Does your planet have species neutral bathrooms?,1.4642857142857142,0.07274320903774968
133,58,13,13,"Sir I know you are very confused right now but please, can I use your bathroom?",1.4642857142857142,0.082011481661619
134,59,11,14,"You're welcome aboard, so long as you stay away from my daughters.",1.4642857142857142,0.0837421331050203
135,57,15,12,"Hi! You're Craigslist ad said, ""M, F or surprise me.",1.4642857142857142,0.08024351308167661
136,55,19,10,"So... can I, uh, call you?",1.4642857142857142,0.07658523308314387
137,53,20,9,"I'm Glen, your Uber driver.",1.4634146341463414,0.07602580021195411
138,54,18,10,"While you've been growing broccoli, we've been growing you.",1.4634146341463414,0.0779810003790686
139,53,20,9,"Hello, Mr. Anderson, do not be alarmed. Your H.M.O. has outsourced to us your annual 'After-50' colonoscopy.",1.4634146341463414,0.07602580021195411
140,53,20,9,Come help make Mars great again.,1.4634146341463414,0.07602580021195411
141,52,22,8,"I'm sorry , my wife insists you take off your shoes.",1.4634146341463414,0.0740189717276296
142,56,14,12,Our new menu is farmer-to-table.,1.4634146341463414,0.08175123647153579
143,50,26,6,"Actually...we're looking for ""the farmer's daughter"" we've heard so much about.",1.4634146341463414,0.0698325134239844
144,52,19,9,Just kidding. I'm from Monsanto.,1.4625,0.0774264657267572
145,51,21,8,I came as soon as I heard about the ball field.,1.4625,0.07535517167875191
146,51,21,8,Can we do crop squares this time?,1.4625,0.07535517167875191
147,52,19,9,"Wish I could invite you in, but we've got a strict ban on illegal aliens.",1.4625,0.0774264657267572
148,50,20,8,Would you consider yourself free-range?,1.4615384615384617,0.07675639617050044
149,48,24,6,"I know, my profile picture is a couple years old.",1.4615384615384617,0.07228792213836381
150,55,10,13,We are collecting two Mennonite . Is anyone else home?,1.4615384615384617,0.08692839592494779
151,57,17,11,Hey Fred. Come on in. Your cows have been asking about you.,1.4588235294117646,0.07769966811242937
152,59,10,14,We're just here for Dick Cheney--sorry about the wait.,1.4578313253012047,0.08450510162579943
153,56,16,11,I'm sorry for your loss. Alf was a hero to us all.,1.4578313253012047,0.07911723655421518
154,52,24,7,So the three day vacation is free and all I need to do is attend a 30 minute presentation.,1.4578313253012047,0.07130290091499954
155,59,10,14,That's what you're wearing?,1.4578313253012047,0.08450510162579943
156,55,18,10,We heard America is gonna be great again!,1.4578313253012047,0.0772378065438506
157,53,22,8,You seem surprised yet we spelled everything out pretty clearly in the crop circles.,1.4578313253012047,0.07333458965020934
158,57,11,13,"You don't have 'Hamilton' tickets, do you?",1.4567901234567902,0.08434457309825186
159,55,15,11,Thank God you're here! You heard we're looking for an alternative Republican candidate?,1.4567901234567902,0.08060225220494194
160,54,17,10,Bring two of each.,1.4567901234567902,0.07866435714604439
161,51,20,8,We always buy local...,1.4556962025316456,0.0760034428285226
162,54,14,11,I'll call you. Promise.,1.4556962025316456,0.08215980255732015
163,52,18,9,"Just make it look like an abduction, okay?",1.4556962025316456,0.07810949536779516
164,52,15,10,Whaddya say to a latté after the probe?,1.4545454545454546,0.08173079559055774
165,56,24,8,"So, how many steps is that for mankind?",1.4545454545454546,0.07028284940773348
166,46,24,5,Mind if I hook up to your septic tank?,1.4533333333333334,0.07176873100975628
167,55,17,10,Are you the Nigerian prince who has been sending me emails?,1.451219512195122,0.0778985493322754
168,54,19,9,So your people are free-range?,1.451219512195122,0.07594122639133905
169,55,17,10,"Hi, Are you Jack? I am Jonathan, your Uber Driver",1.451219512195122,0.0778985493322754
170,59,9,14,Take us to Lucy Ricardo.,1.451219512195122,0.0852797776561494
171,52,23,7,We saw your sign for farm-fresh strawberries and had to stop.,1.451219512195122,0.07186683255380011
172,54,19,9,"So, it's agreed, 2 tickets to ""Hamilton"" for a trip to Alpha Centauri.",1.451219512195122,0.07594122639133905
173,51,22,7,"Thanks for the directions, the GPS on this thing never works.",1.45,0.07313071356019156
174,51,22,7,"On second thought, I can do without meeting your leader.",1.45,0.07313071356019156
175,56,12,12,"Look, we enjoy a good gag as much as anyone, but this is the last crop circle we're going to do for you.",1.45,0.08324890237616016
176,54,16,10,Congratulations you are our 1 millionth abduction,1.45,0.07935658986139954
177,53,18,9,We have to prove our gender in order to use your restrooms?,1.45,0.07733700704208724
178,50,24,6,May I use your restroom?,1.45,0.07093409314018369
179,54,16,10,Eee I eee I oh.,1.45,0.07935658986139954
180,44,13,8,That was fast. Uber said you were two light years away.,1.446153846153846,0.08779009392702561
181,58,10,13,Thanks so much. Our regular sitter cancelled and we have Hamilton tickets.,1.4444444444444444,0.08425417160057279
182,54,18,9,So we’re agreed: That’s a ‘yes’ to the cup of sugar but ‘no’ to the probing.,1.4444444444444444,0.07657804862272345
183,55,16,10,"The crop circles? Oh, we were just messing with you.",1.4444444444444444,0.07856742013183861
184,50,26,5,"What happens on Venus, stays on Venus.",1.4444444444444444,0.06804138174397717
185,55,16,10,Do NOT take me to your leader.,1.4444444444444444,0.07856742013183861
186,53,20,8,You look nothing like your profile pic,1.4444444444444444,0.07453559924999299
187,56,11,12,Is this your first time using Uber?,1.4430379746835442,0.08401410107728391
188,54,15,10,"We could have Skyped this meeting, you realize.",1.4430379746835442,0.08005766228274379
189,51,18,8,Do not be afraid. I am not from Mexico.,1.4415584415584417,0.07732167872281914
190,50,17,8,"Yes, I promise to come back and get you if he wins.",1.44,0.07882012821997063
191,52,13,10,"Can you get me four tickets to ""Hamilton""?",1.44,0.0832666399786453
192,55,18,9,"And remember, please take a moment to complete the Abductee Experience survey for 10% less probing at your next abduction.",1.4390243902439024,0.07583235002511231
193,58,12,12,E-I-E-I-O,1.4390243902439024,0.08157136554630033
194,57,14,11,Thanks for coming. We have the results of your probe.,1.4390243902439024,0.0797042881834837
195,53,22,7,We were told we could get some guns here...,1.4390243902439024,0.07175177395595515
196,53,8,12,"Hi, it's Me--without the beard and sandals!",1.4383561643835616,0.0893624921953467
197,56,13,11,I bought the farm,1.4375,0.0812165218272829
198,53,19,8,Do you mind? The wife's a nut for vacation photos.,1.4375,0.07514490221641068
199,55,15,10,Ignore the kids. We don't like them playing with their food.,1.4375,0.0792443545088165
200,56,13,11,"Don't worry, we'll have her home by nine.",1.4375,0.0812165218272829
201,55,15,10,Lucky you. This happens to be Dress Down Friday.,1.4375,0.0792443545088165
202,54,17,9,So this is your first time riding with Uber?,1.4375,0.07722183645392315
203,54,17,9,We too love bacon.,1.4375,0.07722183645392315
204,59,4,15,Looks like you got the memo on the one-piece suit. Just kidding. Come on in.,1.4358974358974361,0.0904897386656488
205,52,18,8,"Remember, tell them you got the seeds from Monsanto.",1.4358974358974361,0.07653359048662939
206,56,10,12,I was the closest Uber driver tonight.,1.4358974358974361,0.0847902813108697
207,53,16,9,"I'm so happy to eat you. I mean, happy to meet you.",1.4358974358974361,0.07867903663476962
208,52,18,8,What does EIEIO stand for?,1.4358974358974361,0.07653359048662939
209,51,20,7,Ahhh! Nothing beats farm fresh to table.,1.4358974358974361,0.07432624125956294
210,52,15,9,Just a quick x-ray. I haven't seen my watch since your probing.,1.4342105263157894,0.08020921396909565
211,54,11,11,"You had me at ""ZXQRPBYMWK"".",1.4342105263157894,0.08447054156038708
212,50,19,7,"Kids, set the table. Dinner's here.",1.4342105263157894,0.07570841181516923
213,50,19,7,"Greetings, I am Bort and I will be your Uber driver tonight.",1.4342105263157894,0.07570841181516923
214,55,9,12,"Good evening, kind sir. I was wondering if I could share the word of Glork with you?",1.4342105263157894,0.08652253801459789
215,54,16,9,We heard you were outstanding in your field.,1.4303797468354431,0.0778724402069414
216,53,18,8,We'll keep your resume on file.,1.4303797468354431,0.07575979803933318
217,52,20,7,"Welcome aboard, sir. You know, we honestly didn't think he'd win either. Hilary is already inside with the others.",1.4303797468354431,0.07358652766734848
218,51,19,7,We want to pick your brain for a minute.,1.4285714285714286,0.07493120889064774
219,55,11,11,"I could eat a horse! Just kidding, your offspring will suffice.",1.4285714285714286,0.08355680740937169
220,52,17,8,I'll have her back by curfew.,1.4285714285714286,0.07717803810328508
221,50,18,7,"But no shoes inside the ship, if you don't mind.",1.4266666666666667,0.07634283350929691
222,52,14,9,Welcome to Trump University!,1.4266666666666667,0.08092557660560071
223,55,16,9,"OK, I'll take you from your leaders.",1.425,0.0770808387097762
224,52,22,6,Come; we'll take you from farm to table.,1.425,0.07065471397999526
225,49,17,7,Buy local... Ha! Good one.,1.4246575342465753,0.07782676049798773
226,53,17,8,"Good evening sir, can I take a moment to tell you about L. Ron Hubbard",1.4230769230769231,0.07638003456443004
227,54,15,9,Take me to your superdelegates.,1.4230769230769231,0.07852967600253971
228,53,17,8,"So sorry about your cattle, wife and crops. It's my first invasion.",1.4230769230769231,0.07638003456443004
229,55,13,10,Welcome aboard! I'm the head of community relations. It's my job to find the person least likely to be believed.,1.4230769230769231,0.0806220214709616
230,56,11,11,Have my daughter home by midnight or I'll melt your whole planet.,1.4230769230769231,0.08266142195162461
231,52,19,7,"Ah, Mr Jones, my 2 o'clock colonoscopy, come right in.",1.4230769230769231,0.07416811543421603
232,52,19,7,"You're 100% organic, right?",1.4230769230769231,0.07416811543421603
233,54,15,9,"'Come on in, great costume!'",1.4230769230769231,0.07852967600253971
234,54,15,9,"It's just as you thought, your wife IS one of ours.",1.4230769230769231,0.07852967600253971
235,58,4,14,"We’ve paid for your 20th century vintage LP club, but so far your Voyager’s only delivered the sound effects one.",1.4210526315789471,0.0903466188742718
236,51,18,7,"We would have made contact sooner, but we were waiting for Cleveland to win a championship.",1.4210526315789471,0.07554052681267011
237,52,16,8,"No, no—don’t take me to your leader.",1.4210526315789471,0.07782832636076782
238,52,16,8,Greetings American voter. Your application for refugee status has been approved.,1.4210526315789471,0.07782832636076782
239,47,15,7,"No, it's too late to change your mind to Remain.",1.420289855072464,0.08103601627746519
240,52,13,9,Thanks for getting abducted on such short notice.,1.4189189189189189,0.08164986234534165
241,51,12,9,You look familiar. Have we probed you before?,1.4166666666666667,0.08333333333333333
242,47,20,5,So we agree. Squares. Not Circles ... squares.,1.4166666666666667,0.0733450694834178
243,52,10,10,Take me to your least-disapproved-of leader.,1.4166666666666667,0.08564858872844146
244,51,12,9,Can I use your outhouse?,1.4166666666666667,0.08333333333333333
245,50,22,5,Please don't take me to your leaders.,1.4155844155844155,0.07003233642001473
246,53,16,8,We hear you can explain Daylight Saving Time!,1.4155844155844155,0.07700531568288535
247,53,16,8,"No, you can't go with us. We simply need to use your Wi-Fi.",1.4155844155844155,0.07700531568288535
248,54,14,9,"Congratulations, you just bought the farm.",1.4155844155844155,0.07919332132875262
249,46,11,8,There's been a terrible misunderstanding. I meant to swipe left...,1.4153846153846157,0.08741013982587317
250,50,11,9,"Fear not, my farm-fresh, cage-free friend.",1.4142857142857144,0.08510827872054014
251,46,19,5,"Sir, bovine number 141 and I are in love and I've come to ask your permission to marry her.",1.4142857142857144,0.07474693576983732
252,50,11,9,We don't usually do this but your probe results raised some red flags.,1.4142857142857144,0.08510827872054014
253,50,19,6,I come from the future. Can I interest you in a reverse mortgage?,1.413333333333333,0.07374984094246602
254,50,19,6,Congratulations! Your crop circles are the only ones that make sense.,1.413333333333333,0.07374984094246602
255,52,15,8,I normally request that you take me to your leader but I understand you are having issues.,1.413333333333333,0.07848413699442558
256,52,15,8,"We came to destroy your planet, but there's no rush. Why don't you come in for a beer?",1.413333333333333,0.07848413699442558
257,49,10,9,Let me start by telling you the difference between term and whole life insurance.,1.4117647058823528,0.08698262094602864
258,50,16,7,We'll always have Kansas.,1.4109589041095891,0.07762557077625573
259,53,10,10,You look like you haven't been probed in ages.,1.4109589041095891,0.08465980008100073
260,48,20,5,Is this Area 51?,1.4109589041095891,0.07255821270351921
261,50,16,7,I'm here to enter the Miss Universe pageant.,1.4109589041095891,0.07762557077625573
262,49,18,6,Greetings! I represent Future Farmers of America.,1.4109589041095891,0.07513462407262254
263,51,14,8,No doubt the first thing you’re wondering is how I got my head stuck in a goldfish bowl.,1.4109589041095891,0.08003903261624706
264,53,10,10,"Yes, just square dancing. I promise!",1.4109589041095891,0.08465980008100073
265,54,8,11,My name is Cwqqyfteh. That is pronounced Shyrui7fuy.,1.4109589041095891,0.0868780711892258
266,49,15,7,I'm here in Iowa to launch my 2020 campaign for President.,1.4084507042253518,0.079174475056649
267,47,19,5,Welcome......We LOVE the Amish!......I have one of your quilts!,1.4084507042253518,0.07391730870812922
268,54,13,9,Let's give 'em somethin' to talk about,1.4078947368421053,0.07986311002891326
269,52,17,7,"Don't worry, you'll be free-range.",1.4078947368421053,0.07534163495389115
270,52,17,7,"When you awake you will spread the message: ""There is no reason to search for life on other planets.""",1.4078947368421053,0.07534163495389115
271,53,15,8,"Thanks, again, and tell your chickens we like what they're saying about time, we're going to test the theory, and we will get back to them.",1.4078947368421053,0.07763529577780875
272,53,15,8,"It was a lovely evening, but let's just leave it that I'll call you.",1.4078947368421053,0.07763529577780875
273,55,11,10,I see you got our ad for a free physical.,1.4078947368421053,0.08203044274214763
274,54,13,9,... When you've both lied on your online dating profiles.,1.4078947368421053,0.07986311002891326
275,52,17,7,Roswell's become so touristy that we decided to go somewhere else this year.,1.4078947368421053,0.07534163495389115
276,50,21,5,"Welcome aboard. We know you could have flown with anybody, but thank you for choosing us.",1.4078947368421053,0.07053089799201823
277,52,17,7,We offer universal health care,1.4078947368421053,0.07534163495389115
278,48,14,7,Is it true you taste just like chicken?,1.4057971014492754,0.08080699269294482
279,52,14,8,"Hello, we're here to make America great again!",1.4054054054054057,0.07914509641260338
280,52,14,8,"You can come aboard, but stay away from my daughter.",1.4054054054054057,0.07914509641260338
281,52,14,8,It's like Airbnb. With anal probes.,1.4054054054054057,0.07914509641260338
282,52,14,8,"Nice to meet you, you're not a Jehovah's witness are you?",1.4054054054054057,0.07914509641260338
283,48,22,4,Are you satisfied with your current provider of telecommunication services?,1.4054054054054057,0.06915933269182098
284,50,18,6,We came for your moving stairs technology.,1.4054054054054057,0.07432011700925349
285,52,14,8,"Welcome aboard. This is not the rapture, I am not your father and we only go as far as Albuquerque.",1.4054054054054057,0.07914509641260338
286,52,11,9,"No, try the farm down the road. We don't use illegal aliens.",1.4027777777777777,0.08312114352008726
287,52,11,9,"Despite what you've been told, not all aliens speak Spanish.",1.4027777777777777,0.08312114352008726
288,49,17,6,Do you know who did your neighbor's crop circles?,1.4027777777777777,0.07573252656487271
289,51,13,8,"This exciting timeshare promotion entitles you to a free weekend’s stay, by simply participating in our 60 minute probe!",1.4027777777777777,0.08073343912752434
290,55,13,9,"Don't look so shocked, I told you I was going to shave off my mustache.",1.4025974025974026,0.07899691597789894
291,54,15,8,I promise I will bring you back if he doesn't get elected,1.4025974025974026,0.07680331525631552
292,54,15,8,"Congrats, you're our millionth probing!",1.4025974025974026,0.07680331525631552
293,48,16,6,Really sorry about the crop circles. Your neighbor Ned said that you would think it was hilarious.,1.4,0.07721873425053444
294,48,16,6,"Or you can stay here with Trump, your choice!",1.4,0.07721873425053444
295,51,10,9,Come on in for your free personality test,1.4,0.08488208847630566
296,49,14,7,We were looking for signs of intelligence. Guess you'll have to do.,1.4,0.07985494095046906
297,57,11,10,"We did a survey, and nine out of ten abductees said the tractor beam felt too impersonal.",1.3974358974358974,0.08025048944103501
298,55,7,11,Could you hold on a minute? I'm right in the middle of coordinating an invasion.,1.3972602739726028,0.08666782144338951
299,51,15,7,"Enter, entrée.",1.3972602739726028,0.07739018838665886
300,52,13,8,I'm so glad you got my corn maze message.,1.3972602739726028,0.0798107684609522
301,56,5,12,"We don't want to hurt you, abduct you, or probe you. We just wanted to see how well people on this planet shook hands.",1.3972602739726028,0.08883596556321331
302,48,21,4,Meals are available for purchase and it's $50 for a window seat but we don't have any windows.,1.3972602739726028,0.06962534557980321
303,48,21,4,Sorry about the cow.,1.3972602739726028,0.06962534557980321
304,49,19,5,We just watched a Trump speech and decided not to colonize your planet.,1.3972602739726028,0.07230633617403248
305,50,17,6,Can you take me to this Green Giant?,1.3972602739726028,0.07489141309066996
