rank,original,somewhat_original,unoriginal,count,score,precision,contest,caption
31,8,10,13,31,1.8387096774193548,0.14735498936022276,560,Any other ideas besides tunneling past the guard?
32,14,13,22,49,1.836734693877551,0.12145286443100087,560,Watch for the giant golf ball.
32,13,15,21,49,1.836734693877551,0.11790020416623821,560,"Eve, where did he come from?"
32,12,17,20,49,1.836734693877551,0.11423711308671203,560,"He may have a window, but we have a skylight."
35,11,18,19,48,1.8333333333333333,0.11272469025001652,560,He just came out as homo sapien
35,13,14,21,48,1.8333333333333333,0.12033247873019255,560,I know he looks scary but the next restroom is like twelve caves away.
35,13,14,21,48,1.8333333333333333,0.12033247873019255,560,They say he was once a cartoon editor.
35,11,18,19,48,1.8333333333333333,0.11272469025001652,560,I thought the manhole was a great invention until I saw the man cave.
35,12,16,20,48,1.8333333333333333,0.11659065406222408,560,"He seems vexed, even though he's concave."
40,9,21,17,47,1.8297872340425532,0.1067523651776286,560,Ever since he invented the wheel he's lived in luxury.
40,11,17,19,47,1.8297872340425532,0.11509216407481788,560,Do you think your Dad's been waiting there all night?
42,11,16,19,46,1.826086956521739,0.11756115820680142,560,Are you sure the invitation was for tonight??
42,11,16,19,46,1.826086956521739,0.11756115820680142,560,I told you we had the instructions upside down!
42,12,14,20,46,1.826086956521739,0.12160102587480016,560,Just as I predicted......gentrification.
45,9,19,17,45,1.8222222222222222,0.11141372931414578,560,I heard she left after finding all the nude cave paintings...
45,9,19,17,45,1.8222222222222222,0.11141372931414578,560,"It looks nice now, but give it a couple of months and the walls will be covered with graffiti."
45,10,17,18,45,1.8222222222222222,0.11585818956718925,560,Six more weeks of the Stone Age.
45,10,17,18,45,1.8222222222222222,0.11585818956718925,560,What's your picture doing in his cave?
49,11,14,20,45,1.8,0.12143918126978105,560,"Yeah, well, the laugh will be on him when he has to get that roof replaced."
49,11,14,20,45,1.8,0.12143918126978105,560,His cave lacks the feng shui of our crater.
49,9,18,18,45,1.8,0.1128152149635532,560,This is the last time we pay for orchestra seats.
49,9,18,18,45,1.8,0.1128152149635532,560,I can see the advantages in the rainy season.
49,12,12,21,45,1.8,0.12552918289216955,560,He just saw his mom without her fig leaf.
54,11,13,20,44,1.7954545454545454,0.12414419706302977,560,The Greeks will have a word for this.
54,11,13,20,44,1.7954545454545454,0.12414419706302977,560,"His name is Mankoff. He drew all of those pictures on the cave wall. Been there since before the dinosaurs, so they say."
56,11,12,20,43,1.7906976744186047,0.12697232254317692,560,It took a little longer but we beat the toll.
56,10,14,19,43,1.7906976744186047,0.12253387686651261,560,He's just mad they picked someone else to replace Mankoff.
56,9,16,18,43,1.7906976744186047,0.11792850065979302,560,I'm sick of him treating us like gophers.
56,11,12,20,43,1.7906976744186047,0.12697232254317692,560,He got the cave but she got the wheel and the fire.
56,9,16,18,43,1.7906976744186047,0.11792850065979302,560,"As soon as we pay off our student loans, honey."
61,8,17,17,42,1.7857142857142858,0.11574991206772794,560,"""I knew him before he invented fire""."
61,7,19,16,42,1.7857142857142858,0.1106191753623951,560,"No, THIS is a manhole. That's a man cave."
61,12,9,21,42,1.7857142857142858,0.1343272231791027,560,His misanthropy will limit his genetic contribution to homo sapiens.
61,11,11,20,42,1.7857142857142858,0.12993214652724722,560,I guess no one came to his hieroglyphics opening.
61,7,19,16,42,1.7857142857142858,0.1106191753623951,560,Are we on the wrong side of history?
66,9,14,18,41,1.7804878048780488,0.12352641231317658,560,Looks like six more weeks of fornication!
66,11,10,20,41,1.7804878048780488,0.13303307456872823,560,Horizontal. Clever.
66,9,14,18,41,1.7804878048780488,0.12352641231317658,560,He won't say a word. He thinks his cave is tapped.
66,10,12,19,41,1.7804878048780488,0.12836777918966602,560,"It appears that Monsieur Lascaux has a dose of ""painter's block""."
66,10,12,19,41,1.7804878048780488,0.12836777918966602,560,Another Toll !
71,8,15,17,40,1.775,0.12135717573577633,560,"""Let's go spy on the neighbor"" you said. ""It'll be fun"" you said."
71,8,15,17,40,1.775,0.12135717573577633,560,"He calls it thinking. I tried it, but it makes my head hurt."
71,8,15,17,40,1.775,0.12135717573577633,560,He can't decide whether to evolve or just be another missing link.
71,8,15,17,40,1.775,0.12135717573577633,560,Keep digging. Another 20 feet and we'll have invented the basement.
71,11,9,20,40,1.775,0.13628542823324122,560,These zoning variances are ruining the quaintly primitive nature of our community
71,8,15,17,40,1.775,0.12135717573577633,560,Earliest known appearance of agoraphobia.
77,9,12,18,39,1.7692307692307692,0.12968111237284993,560,It makes our place look like a pit.
77,10,10,19,39,1.7692307692307692,0.1347839700097043,560,I think we might not have followed the blueprints correctly.
77,9,12,18,39,1.7692307692307692,0.12968111237284993,560,"O.k. Fifty more yards and it's ""Goodbye, Mexico."""
77,9,12,18,39,1.7692307692307692,0.12968111237284993,560,"True, but he has a lot more overhead."
77,8,14,17,39,1.7692307692307692,0.12436906062579468,560,We’re here. Get ready for four hours of saber-tooth stories.
77,11,8,20,39,1.7692307692307692,0.13970055918604624,560,Fire is a hell of a drug.
77,10,10,19,39,1.7692307692307692,0.1347839700097043,560,Lateral thinking.
77,7,16,16,39,1.7692307692307692,0.11881976088018967,560,"Well his Airbnb profile didn't lie, it is a hole in the wall."
77,10,10,19,39,1.7692307692307692,0.1347839700097043,560,Great! Someone moved in upstairs.
77,8,14,17,39,1.7692307692307692,0.12436906062579468,560,We'll never get past the new security system.
77,8,14,17,39,1.7692307692307692,0.12436906062579468,560,It looks pricey - they have a doorman.
77,10,10,19,39,1.7692307692307692,0.1347839700097043,560,"Oh great, the first silent treatment."
77,7,16,16,39,1.7692307692307692,0.11881976088018967,560,This game may take a while given none of us know how to count.
77,8,14,17,39,1.7692307692307692,0.12436906062579468,560,Nobody came to his cavewarming.
77,9,12,18,39,1.7692307692307692,0.12968111237284993,560,Krog want to be caveman instead of potholeman!
77,8,14,17,39,1.7692307692307692,0.12436906062579468,560,He and his woman split over classic bison hunting scenes and Neolithic dance pictographs.
77,12,6,21,39,1.7692307692307692,0.1444499010114273,560,Caveman cringes as Punxsutawney cave dwellers predict 6 more weeks of Stone Age.
77,10,10,19,39,1.7692307692307692,0.1347839700097043,560,Do you think he's still mad we went to China without him?
77,9,12,18,39,1.7692307692307692,0.12968111237284993,560,"Don't bother, he's a pyroclastic flow denier."
77,7,16,16,39,1.7692307692307692,0.11881976088018967,560,When it rains I bet you'll wish you had married him.
77,9,12,18,39,1.7692307692307692,0.12968111237284993,560,He's a Home-owner Sapien.
77,10,10,19,39,1.7692307692307692,0.1347839700097043,560,He invented the wheel. Then he realized he had nowhere to go.
77,9,12,18,39,1.7692307692307692,0.12968111237284993,560,He was featured in Better Caves & Rock Piles.
77,7,16,16,39,1.7692307692307692,0.11881976088018967,560,"Typical teenager, he just stays in his cave and watches fire all day."
101,11,7,20,38,1.763157894736842,0.1432909807292278,560,We should have invested in caves in 2009.
101,10,9,19,38,1.763157894736842,0.13823830891492525,560,"Yes he is sitting pretty right now, but wait until the next bear market."
101,9,11,18,38,1.763157894736842,0.13299381543881156,560,We overshot. This is Mongolia.
101,8,13,17,38,1.763157894736842,0.12753383801284676,560,We missed your curfew. Your dad's gonna clobber us.
101,7,15,16,38,1.763157894736842,0.12182940832000048,560,"Sure, he looks happy, but I just feel more grounded."
101,9,11,18,38,1.763157894736842,0.13299381543881156,560,He'll never move. It's rent-controlled.
101,9,11,18,38,1.763157894736842,0.13299381543881156,560,At least we have a 360 degree view!
101,7,15,16,38,1.763157894736842,0.12182940832000048,560,He doesn't like it when we frack together.
101,10,9,19,38,1.763157894736842,0.13823830891492525,560,He hasn't left the den since he got Amazon Fire.
101,9,11,18,38,1.763157894736842,0.13299381543881156,560,What can I say? He got in on the ground floor.
101,8,13,17,38,1.763157894736842,0.12753383801284676,560,It'll never catch on. I give it a year tops.
101,9,11,18,38,1.763157894736842,0.13299381543881156,560,It's new money.
101,6,17,15,38,1.763157894736842,0.11584441991272507,560,"It's easy to get a fancy cave if you live to the ripe old age of 30, but then you're too old to enjoy it."
114,5,18,14,37,1.7567567567567568,0.11234201723729662,560,He insisted on open concept
114,8,12,17,37,1.7567567567567568,0.1308634148318374,560,He really did get the shaft in the settlement.
114,7,14,16,37,1.7567567567567568,0.12499492725686133,560,I heard his wife left him for some big wheel inventor.
114,8,12,17,37,1.7567567567567568,0.1308634148318374,560,Only if he throws the paintings in.
114,6,16,15,37,1.7567567567567568,0.11883699061507133,560,Granite may be the new look but I still like earth tones.
114,9,10,18,37,1.7567567567567568,0.13647979646435238,560,He also has a cave in the Hamptons.
114,6,16,15,37,1.7567567567567568,0.11883699061507133,560,It has recessed torches too.
121,5,17,14,36,1.75,0.11529809536003097,560,We could tell him we're the visiting artists.
121,5,17,14,36,1.75,0.11529809536003097,560,I heard his wife left him for a more evolved man.
123,7,12,16,35,1.7428571428571429,0.13184442794927856,560,He's thinking outside of the hole.
123,8,10,17,35,1.7428571428571429,0.1380710883935521,560,We will just tell him the truth. We're his long lost cousins from the land down under.
123,5,16,14,35,1.7428571428571429,0.11841287363904898,560,You do realize we are hiding in the outhouse?
123,7,12,16,35,1.7428571428571429,0.13184442794927856,560,He may have gotten the house but the latrine is ours!
127,6,13,15,34,1.7352941176470589,0.1288148606464803,560,He's just sulking-- his patent on fire was refused.
127,9,7,18,34,1.7352941176470589,0.14812448111726784,560,"First he sulks, then he tweets about it."
127,9,7,18,34,1.7352941176470589,0.14812448111726784,560,Remind me why we have to sleep in the guest room whenever you brother comes to visit.
127,4,17,13,34,1.7352941176470589,0.11414116669624652,560,It's a phase every retired late night TV host goes through.
127,9,7,18,34,1.7352941176470589,0.14812448111726784,560,He hasn't come out since his breasts started growing.
127,7,11,16,34,1.7352941176470589,0.13555736615052696,560,At what point do we tell him it's just graffiti?
127,5,15,14,34,1.7352941176470589,0.12169937193377883,560,So this is what the future looks like?
127,6,13,15,34,1.7352941176470589,0.1288148606464803,560,He gets over five hundred cave drawings and still complains there is nothing on.
127,6,13,15,34,1.7352941176470589,0.1288148606464803,560,"Come back into the hot tub, Bob. I promise, no more bubbles!"
127,8,9,17,34,1.7352941176470589,0.1419800363148423,560,Let's leave. Only a Neanderthal would find this entertaining.
127,6,13,15,34,1.7352941176470589,0.1288148606464803,560,I never thought of digging sideways...
127,7,11,16,34,1.7352941176470589,0.13555736615052696,560,It's Walt Disney. He thinks we're prairie dogs.
127,7,11,16,34,1.7352941176470589,0.13555736615052696,560,"So, what is ""miniature golf?"""
127,6,13,15,34,1.7352941176470589,0.1288148606464803,560,"Well, he's right it would solve the rain problem..."
127,9,7,18,34,1.7352941176470589,0.14812448111726784,560,I wouldn't live there in a million years.
142,8,8,17,33,1.7272727272727273,0.14611592062110537,560,"If he sees his shadow, there's six more centuries of dinosaurs."
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,I expected the guest house to be a little nicer ....
142,9,6,18,33,1.7272727272727273,0.15245918028407657,560,It's a seller's market. He's holding firm.
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,"Personally, I'd say the man cave is just a fad. Soon manholes will be everywhere."
142,5,14,14,33,1.7272727272727273,0.12517205789286595,560,"Am I right or what? See how having a big, fancy house doesn't bring happiness?"
142,6,12,15,33,1.7272727272727273,0.13252163397375682,560,I understand his work was heavily influenced by the Pre-modernists
142,6,12,15,33,1.7272727272727273,0.13252163397375682,560,"It's pretentious, it blocks our view and it complete;y destroys the character of the neighborhood."
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,Ugg takes everything so literally. 'Caveman' is so Pleistocene.
142,5,14,14,33,1.7272727272727273,0.12517205789286595,560,He's been so moody since he started that Paleo Diet.
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,"Trust me, standing caves are all the rage now."
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,"Yeah, but he doesn't have a skylight."
142,4,16,13,33,1.7272727272727273,0.11736313170325506,560,That's what I want when I retire. A place out of the weather where I can paint.
142,6,12,15,33,1.7272727272727273,0.13252163397375682,560,Why does our chief have to ask the Great Spirit if we can mate?
142,6,12,15,33,1.7272727272727273,0.13252163397375682,560,He's depressed because I told him his drawings were primitive and never would stand the test of time.
142,5,14,14,33,1.7272727272727273,0.12517205789286595,560,"Yeah, but we have more light."
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,"The bastard keeps humming, ""Everybody Must Get Stoned,"" it's driving me crazy."
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,I'll jump him while you take down the listing on CaveFinder.
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,The Dawn of Gentrification
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,He invented homeland security.
142,6,12,15,33,1.7272727272727273,0.13252163397375682,560,I told him his drawings were derivative.
142,5,14,14,33,1.7272727272727273,0.12517205789286595,560,Magnon's a master of Paleolithic minimalism.
142,7,10,16,33,1.7272727272727273,0.13948448969334826,560,He swore he'd never go in there—then he caved.
142,3,18,12,33,1.7272727272727273,0.10899617098438,560,"Face it, the future is in archaeology."
142,8,8,17,33,1.7272727272727273,0.14611592062110537,560,I told you if we dug in he would cave.
142,6,12,15,33,1.7272727272727273,0.13252163397375682,560,"No hunting, no gathering. He just binge-watches last season's cave murals."
142,5,14,14,33,1.7272727272727273,0.12517205789286595,560,Looks like the Guru is in time out!
142,8,8,17,33,1.7272727272727273,0.14611592062110537,560,"Problem is, he doesn't know his house from a hole in the ground"
169,6,11,15,32,1.71875,0.13644666185824433,560,I say we join Bob Mankoff. He looks a lot happier there.
169,7,9,16,32,1.71875,0.14364477214474647,560,No one believe he can see Russian ice shelf from his house.
169,9,5,18,32,1.71875,0.15705438112014658,560,Still grounded?
169,7,9,16,32,1.71875,0.14364477214474647,560,Luddite!
169,7,9,16,32,1.71875,0.14364477214474647,560,I hear he's stepping down as cartoon editor. About time don't you think?
169,7,9,16,32,1.71875,0.14364477214474647,560,I understand he represents a whole new chapter in history
169,5,13,14,32,1.71875,0.1288470508005519,560,"I don't think he understands the difference between, fire and fired."
169,6,11,15,32,1.71875,0.13644666185824433,560,"Oh, great. Now we’ll be known as “cavemen” for the rest of time."
169,6,11,15,32,1.71875,0.13644666185824433,560,"I'm sorry, but there's such a thing as too much house."
169,7,9,16,32,1.71875,0.14364477214474647,560,We should get the name of his broker.
169,8,7,17,32,1.71875,0.1504990019793294,560,"Yeah, but what about wind from the south? Ever think about that? And the lack of overhead light? And the lousy feng shui? And the ..."
169,6,11,15,32,1.71875,0.13644666185824433,560,The climate is perfect for his wine collection.
169,6,11,15,32,1.71875,0.13644666185824433,560,Fermat's still working out his final theorem.
169,5,13,14,32,1.71875,0.1288470508005519,560,"Shelter, that's what I forgot. Our shopping list is food, clothing, and shelter."
169,5,13,14,32,1.71875,0.1288470508005519,560,Maybe downsizing wasn't such a great idea.
169,7,9,16,32,1.71875,0.14364477214474647,560,Do you remember the password?
169,9,5,18,32,1.71875,0.15705438112014658,560,...And this is the safe house for The Oscars Accountant.
169,7,9,16,32,1.71875,0.14364477214474647,560,"Rumor has it, Hector is being considered as a new cartoon editor at the New Yorker specializing in cave man humor"
169,7,9,16,32,1.71875,0.14364477214474647,560,Nobody came to his cavewarming.
169,5,13,14,32,1.71875,0.1288470508005519,560,It would save on flood insurance
169,5,13,14,32,1.71875,0.1288470508005519,560,"He can't come, he's waiting for the cable guy."
169,5,13,14,32,1.71875,0.1288470508005519,560,He's turning into such a cave potato.
169,6,11,15,32,1.71875,0.13644666185824433,560,Neighborhood is going to hell with all these McCaves.
169,7,9,16,32,1.71875,0.14364477214474647,560,It appears Herb is suffering from tunnel vision............
193,5,12,14,31,1.7096774193548387,0.13274236010332013,560,He's living outside the burrow.
193,7,8,16,31,1.7096774193548387,0.14805947938114844,560,He's always been a lateral thinker.
193,4,14,13,31,1.7096774193548387,0.12437844078211832,560,He said we didn't know a cave from a hole in the ground.
193,5,12,14,31,1.7096774193548387,0.13274236010332013,560,I don’t like the way he draws you on the wall.
193,5,12,14,31,1.7096774193548387,0.13274236010332013,560,You lure him out and I'll build a door.
193,9,4,18,31,1.7096774193548387,0.16193419868401462,560,The invention of the third wheel.
193,5,12,14,31,1.7096774193548387,0.13274236010332013,560,It does have a kind of historical inevitability about it.
193,4,14,13,31,1.7096774193548387,0.12437844078211832,560,Think of the money we'd save on flood insurance.
193,6,10,15,31,1.7096774193548387,0.14060964334002174,560,He said he feels like a third circular disc rotating on an axis when only two are necessary.
193,8,6,17,31,1.7096774193548387,0.1551520127778732,560,What's a third wheel?
193,8,6,17,31,1.7096774193548387,0.1551520127778732,560,"Thirty more feet and some polished quartz, we can stream all the cave paintings we want."
193,8,6,17,31,1.7096774193548387,0.1551520127778732,560,I knew he’d cave eventually.
193,9,4,18,31,1.7096774193548387,0.16193419868401462,560,I thought we said concave.
193,8,6,17,31,1.7096774193548387,0.1551520127778732,560,He still can't read the handwriting on the wall.
193,7,8,16,31,1.7096774193548387,0.14805947938114844,560,Can you believe that guy.. he's got a guard on his cave and charging to see his paintings . Like anyone will ever care .
193,3,16,12,31,1.7096774193548387,0.11540996012902142,560,While his design is derivative; he has managed to improve functionality without sacrificing the classic aesthetic of a hole.
193,6,10,15,31,1.7096774193548387,0.14060964334002174,560,"Yeah, well, the laugh will be on him when that roof eventually wears out."
193,5,12,14,31,1.7096774193548387,0.13274236010332013,560,"Forget it, Irene. Pete will never change. Not in a million years."
193,4,14,13,31,1.7096774193548387,0.12437844078211832,560,they call it 'open concept'
193,4,14,13,31,1.7096774193548387,0.12437844078211832,560,I suspect he has interior motives.
193,5,12,14,31,1.7096774193548387,0.13274236010332013,560,Damn! We're still in Syria!
193,5,12,14,31,1.7096774193548387,0.13274236010332013,560,Do you think he's pro or con cave?
193,7,8,16,31,1.7096774193548387,0.14805947938114844,560,"Oh crap, I hope he’s not checking for IDs."
193,8,6,17,31,1.7096774193548387,0.1551520127778732,560,I say we pants him.
217,5,7,12,24,1.7083333333333333,0.16461600758034078,560,I just love what he's done with the foyer.
218,7,9,17,33,1.696969696969697,0.14091723664953237,560,"""He doesn't know us from a hole in the ground""."
219,6,9,16,31,1.6774193548387097,0.14208203577771125,560,I don't think he's a mole. But I do think he's a rat.
219,3,15,13,31,1.6774193548387097,0.11719936854570938,560,We can take him. We have tools.
219,8,5,18,31,1.6774193548387097,0.15648763580409802,560,I hope voyerism gets better in the future.
219,6,9,16,31,1.6774193548387097,0.14208203577771125,560,When is Dad letting us out of the dog house?
219,5,11,15,31,1.6774193548387097,0.1343010322236215,560,"Damn, there's going to be a cover charge to get in."
219,6,9,16,31,1.6774193548387097,0.14208203577771125,560,"It's just been hieroglyph reruns for him. Yeah, he's in a dark place."
219,5,11,15,31,1.6774193548387097,0.1343010322236215,560,Told ya he'd cave
219,7,7,17,31,1.6774193548387097,0.14945849766790587,560,"The man, the myth of the cave, the legend."
219,6,9,16,31,1.6774193548387097,0.14208203577771125,560,He's not as interesting as the mating teradactyles.
219,4,13,14,31,1.6774193548387097,0.1260405872007966,560,You're the one who wanted to live in the lower East side.
219,5,11,15,31,1.6774193548387097,0.1343010322236215,560,The world's ending anyway. Can't we just pay the cover charge?
219,6,9,16,31,1.6774193548387097,0.14208203577771125,560,Let's get the name of his architect.
219,4,13,14,31,1.6774193548387097,0.1260405872007966,560,We're 40 paces short.
219,5,11,15,31,1.6774193548387097,0.1343010322236215,560,You're the one who wanted a tiny house
219,5,11,15,31,1.6774193548387097,0.1343010322236215,560,"To tell the truth, I don't understand why you moved in with me, either."
219,4,13,14,31,1.6774193548387097,0.1260405872007966,560,"Pardon us, would you have any Grey Poupon?"
219,5,11,15,31,1.6774193548387097,0.1343010322236215,560,"I'm telling you, shelter is just a passing fad."
219,4,13,14,31,1.6774193548387097,0.1260405872007966,560,It's called mindfulness.
219,7,7,17,31,1.6774193548387097,0.14945849766790587,560,Caves are the new holes.
219,4,13,14,31,1.6774193548387097,0.1260405872007966,560,They don't go out any more since they got the cave painting.
219,6,9,16,31,1.6774193548387097,0.14208203577771125,560,"1st episode of ""House Hunters"""
219,6,9,16,31,1.6774193548387097,0.14208203577771125,560,Then you should have married him!
219,5,11,15,31,1.6774193548387097,0.1343010322236215,560,It's touching that he still sits there waiting for Godot
242,6,8,16,30,1.6666666666666667,0.14647845813401372,560,He's been stuck between that rock and a hard place all week.
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,Also deported due to an existing pre-historic condition.
242,7,6,17,30,1.6666666666666667,0.15412588774125732,560,I think we may have overlooked some of the charms of the hole in the wall.
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,It seemed bigger on Airbnb
242,5,10,15,30,1.6666666666666667,0.13840913308956662,560,"He's our cave man. The board felt ""door man"" just didn't sound right."
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,A rare chance to see the artist conemplating his own work
242,6,4,14,24,1.6666666666666667,0.1772031776903983,560,Cave Man? What's that?
242,5,10,15,30,1.6666666666666667,0.13840913308956662,560,The real fun starts when the bear wakes up!
242,5,10,15,30,1.6666666666666667,0.13840913308956662,560,CIA: spying you since the beginning of times
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,All that on a single income?
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,"He's not antisocial, he just doesn't like allegories."
242,5,6,13,24,1.6666666666666667,0.16666666666666663,560,I wonder how he got his hole to stick up like that.
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,How does a hunter-gatherer afford the mortgage on a cave like that?
242,6,8,16,30,1.6666666666666667,0.14647845813401372,560,Shadows on the wall . . . so that's his source for Twitter feed.
242,5,10,15,30,1.6666666666666667,0.13840913308956662,560,"Uh-oh, looks like your Dad is waiting up!"
242,7,6,17,30,1.6666666666666667,0.15412588774125732,560,"He has his strengths, but hide and seek isn't one of them."
242,7,6,17,30,1.6666666666666667,0.15412588774125732,560,What did you say to him?
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,All we said was that his drawings lack dimension.
242,5,10,15,30,1.6666666666666667,0.13840913308956662,560,He says he doesn't want to be a hunter OR a gatherer.
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,Let him be. He's pondering his health care options.
242,5,10,15,30,1.6666666666666667,0.13840913308956662,560,"I always enjoy watching ""The Bachelor"""
242,3,14,13,30,1.6666666666666667,0.1206622848000985,560,"See, the rich really are different!"
242,5,10,15,30,1.6666666666666667,0.13840913308956662,560,See -- we need a reservation.
242,4,12,14,30,1.6666666666666667,0.1298392758293604,560,"Fine, I'll get an estimate for making our hole a horizontal."
266,5,9,15,29,1.6551724137931034,0.14277218469152156,560,"Well, on the upside, we've invented the third wheel."
266,5,9,15,29,1.6551724137931034,0.14277218469152156,560,That will be a great apartment once we finish the 2nd Avenue subway line.
266,3,13,13,29,1.6551724137931034,0.12432935432634445,560,Why would anyone live in that hole in the wall?
266,5,9,15,29,1.6551724137931034,0.14277218469152156,560,His time share with the bear is really working out.
266,3,13,13,29,1.6551724137931034,0.12432935432634445,560,"Damn, Bob got a big screen!"
266,2,15,12,29,1.6551724137931034,0.1139944479350358,560,Modern architecture always seems so cold.
266,4,11,14,29,1.6551724137931034,0.13386875114976543,560,Third Wheel? What's a wheel?
266,7,5,17,29,1.6551724137931034,0.15909118484684867,560,I told you that China wasn't any more interesting than home
266,3,13,13,29,1.6551724137931034,0.12432935432634445,560,We should have used his architect.
266,3,13,13,29,1.6551724137931034,0.12432935432634445,560,Nice digs.
266,6,7,16,29,1.6551724137931034,0.15115207874449513,560,Fancy joining us in the rubble bath?
266,7,5,17,29,1.6551724137931034,0.15909118484684867,560,He might be onto something with his sideways hole.
266,5,9,15,29,1.6551724137931034,0.14277218469152156,560,You said he'd be hunting until Friday.
266,5,9,15,29,1.6551724137931034,0.14277218469152156,560,"Oh, I thought you said ""let's start a quarry,"" not ""quarrel."""
266,6,7,16,29,1.6551724137931034,0.15115207874449513,560,"If the great spirit had meant for us to live in caves, he wouldn’t have given us holes."
266,5,9,15,29,1.6551724137931034,0.14277218469152156,560,"Great, there's only one guy ahead of us."
266,6,7,16,29,1.6551724137931034,0.15115207874449513,560,lksdnf malse likje k!
266,7,5,17,29,1.6551724137931034,0.15909118484684867,560,"I hunt, you gather, he sits."
266,6,7,16,29,1.6551724137931034,0.15115207874449513,560,"Just look at him, staring at his cave wall painting, trying to think of a caption. What an IDIOT!"
266,3,13,13,29,1.6551724137931034,0.12432935432634445,560,He's our new financial adviser that's going to get us out of the hole.
266,5,9,15,29,1.6551724137931034,0.14277218469152156,560,Just wait for the property tax.
266,8,3,18,29,1.6551724137931034,0.16665251058164798,560,"Your husband said we'd have a great view of his pet sabertooth tiger feeding from here. But, I don' t see its food bowl."
