target_id,rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1831,23,138,362,446,946,1.6744186046511629,0.023261406309936526,598,You must first find stability.
2186,24,374,512,991,1877,1.6712839637719765,0.01816722343277348,598,"I'm living in a cave without light, heat or plumbing and you're asking ME for advice?"
296,25,255,421,775,1451,1.6416264645072365,0.020024531184567144,598,"So you're telling me that you traveled all this way to see, in person, the first colored object ever included in a New Yorker cartoon ?"
2192,26,284,466,901,1651,1.6262870987280436,0.01871776805413609,598,"So Ray, the last thing I remember is my wife driving me to the airport saying, “You want a man cave? I’ll give you a man cave!”"
1777,27,177,435,650,1262,1.6251980982567353,0.020205772679799686,598,Cyber Monday impulse buy.
973,28,237,456,803,1496,1.6216577540106951,0.01921614967880856,598,Sisyphus. What’s yours?
2166,29,141,283,487,911,1.6201975850713501,0.02447475680172527,598,The key to happiness? Amazon prime.
1838,30,150,290,515,955,1.617801047120419,0.024016482786663844,598,He's off this week. I'm his cousin Bobby Lama.
1358,31,113,255,420,788,1.6104060913705585,0.025818556741811712,598,"Your reading way too much into it, son. Green's all they had left.."
972,32,181,333,626,1140,1.6096491228070176,0.022084539650766576,598,I hope you brought something that removes Crazy Glue.
628,33,216,340,713,1269,1.6083530338849488,0.021362965683860362,598,The standing desk made me look like an asshole.
60,34,182,392,679,1253,1.6033519553072626,0.02057133553154296,598,"No, no, I’m core muscles. The core values guy is the next mountain over."
2596,35,183,467,734,1384,1.601878612716763,0.01909127929921145,598,Meaning of life? No idea. But let me tell you about the importance of good posture.
1501,36,167,309,596,1072,1.599813432835821,0.022694422839445175,598,"When I figured out how to make peas larger, the 'meaning of life' didn't seem so important anymore."
491,37,181,339,653,1173,1.597612958226769,0.021644863011072973,598,"They offered me immunity, and the fitness protection program."
2722,38,241,505,907,1653,1.5970961887477313,0.01794805824094184,598,The meaning of life guru is in the other mountain. I'm the Pilates guy.
2842,39,191,513,810,1514,1.5911492734478203,0.01806947682291338,598,"At the moment, I'm inclined to think that the meaning of life is balance."
853,40,94,230,385,709,1.5895627644569816,0.026763789716306764,598,Great news! Suffering is NOT the answer!
687,41,179,274,631,1084,1.5830258302583027,0.023009191910332787,598,You should have seen the martini.
577,42,169,371,677,1217,1.5825801150369763,0.020697393936840433,598,Amazon drone delivery. I'm a recluse not a Luddite.
506,43,97,331,480,908,1.578193832599119,0.02246011071986706,598,Enlightenment is nice but abs are essential.
259,44,180,240,624,1044,1.5747126436781609,0.02376873247387595,598,"My advice is if you want to see the bigger picture, take a step back."
2721,45,162,294,626,1082,1.5711645101663585,0.022440817093509806,598,My wife had the better lawyer
1444,46,123,286,544,953,1.558237145855194,0.023025849761769426,598,None of your business. You may ask two more questions.
94,47,144,259,578,981,1.5575942915392456,0.023479493424320787,598,Are you here to fix the Wi-Fi?
1887,48,87,186,381,654,1.5504587155963303,0.028042544900381917,598,"Look, I’m sorry it took you 3 years to get here but I’d still prefer a red one."
731,49,126,284,566,976,1.5491803278688525,0.022776011146732653,598,"Eat, pray, love, bounce."
1140,50,98,253,469,820,1.5475609756097561,0.024379036407734804,598,The secret of life is to sit up straight and keep away from the edge of the cliff.
1538,51,63,215,345,623,1.5473515248796148,0.02689759740471254,598,"The secret of life is balance, my son."
1873,52,125,235,532,892,1.5437219730941705,0.024351463366420138,598,Welcome to Mount Olive
2227,53,124,256,550,930,1.5419354838709678,0.023542739502263696,598,Exactly. I'm off my rocker.
725,54,67,179,340,586,1.5341296928327646,0.028570025115888527,598,"So I said ""Alexa, I get back aches at work"" and the next day this arrived."
2381,55,123,199,515,837,1.5316606929510155,0.025483468948758237,598,You should have seen the martini.
2894,56,78,129,330,537,1.5307262569832403,0.03172758023885885,598,The secret to life? Don't sit in a cave for 25 years. It gives you hemorrhoids.
288,57,114,203,497,814,1.5294840294840295,0.025513881423040292,598,It turns red when I'm enlightened.
2206,58,93,219,460,772,1.5246113989637307,0.025218292660916602,598,"One question, and then I gotta bounce."
1490,59,92,190,433,715,1.523076923076923,0.02664241140331889,598,I had no idea it would bounce this high!
950,60,72,237,423,732,1.5204918032786885,0.02470901510503272,598,"Of course serenity is important, but so is good posture."
427,61,77,217,419,713,1.5203366058906032,0.02557142459835708,598,It's all about balance.
1732,62,86,207,436,729,1.5198902606310014,0.025825492689126015,598,Sometimes a green ball is just a green ball.
2264,63,60,148,308,516,1.5193798449612403,0.03059864078281345,598,The wisdom you seek comes in five bold new colors.
1172,64,98,158,429,685,1.5167883211678832,0.02798938654146184,598,It's a Sherpa Posturepedic.
982,65,77,199,408,684,1.5160818713450293,0.026368477238285132,598,Believe it or not- Medicare covers the ball.
525,66,67,179,361,607,1.5156507413509062,0.027864383966598367,598,"Son, life is not always so black and white"
954,67,80,174,400,654,1.510703363914373,0.02751955328919698,598,That hat looks ridiculous.
2271,68,71,191,391,653,1.5099540581929556,0.026773269891413657,598,Happiness is knowing that you can always bounce back.
2900,69,87,152,402,641,1.5085803432137286,0.02854210803096059,598,I'm the second to try a bouncy ball on a mountain cliff. My late wife was the first.
864,70,67,183,374,624,1.5080128205128205,0.02731069042184484,598,The secret to life is balance.
1402,71,48,95,233,376,1.5079787234042554,0.036706238848784586,598,You'll need to exit through the gift shop.
218,72,95,134,409,638,1.5078369905956113,0.02932372832227204,598,Sorry but I decided not to sell it after all.
2147,73,77,146,368,591,1.5076142131979695,0.02941570317012081,598,"I call it the ""Emerald Sitty."""
2711,74,50,198,340,588,1.5068027210884354,0.026749572118301763,598,"I have no words of wisdom, but my back feels better."
1658,75,99,118,407,624,1.5064102564102564,0.030175160155366226,598,"Yes, I always swallow my bubble gum. Why do you ask?"
2800,76,62,190,369,621,1.5056360708534622,0.026930201702397027,598,"No, I'm the fitness-ball guru; the meaning-of-life guru is one mountain down."
2449,77,60,152,327,539,1.5046382189239331,0.02963887340123505,598,Welcome to low impact wisdom.
2203,78,63,177,361,601,1.5041597337770383,0.027677707003339738,598,The lotus position is so yesterday.
705,79,72,160,372,604,1.5033112582781456,0.028459614154145316,598,You just roll with it.
2736,80,58,182,354,594,1.5016835016835017,0.027402544197813353,598,At this altitude the hard part is blowing it up!
1807,81,24,97,169,290,1.5,0.03791801579365299,598,"Seek oneness, embrace truth, and lift with your legs not your back."
2571,82,57,165,337,559,1.4991055456171736,0.028521977919437946,598,I find that being comfortable is better than being enlightened.
2218,83,55,150,317,522,1.4980842911877394,0.029737311183220455,598,It's all a question of balance.
368,84,87,103,369,559,1.4955277280858676,0.031714737820067035,598,Advice? Don't swallow the green gum!
2859,85,73,126,351,550,1.4945454545454546,0.030640544629732213,598,"No, I haven’t seen your ball."
2747,86,54,147,319,520,1.4903846153846154,0.02969335419540553,598,Not all answers are black and white
690,87,61,97,291,449,1.487750556792873,0.034120482209780256,598,Welcome to the Sherpa Image.
1828,88,38,124,251,413,1.4842615012106537,0.03244755552433229,598,Turns out this is not the answer.
2340,89,57,127,314,498,1.4839357429718876,0.031033752064432266,598,"Karma, schmarma! All I know is that my hemorrhoid pain is a thing of the past."
1430,90,56,104,288,448,1.4821428571428572,0.03343433654291395,598,"So, you wish to find peas?"
267,91,38,130,260,428,1.4813084112149533,0.0316309485141234,598,A rolling stone does gather moss.
813,92,59,113,308,480,1.48125,0.032162224851158515,598,"Forget about the meaning of life, did you bring the air pump?"
795,93,66,92,311,469,1.4776119402985075,0.03368242421834193,598,"The meaning of life? Pearls of wisdom? Good grief, man! I'm sitting on a ball and living in a cave..."
1667,94,48,126,291,465,1.4774193548387098,0.0313469780540204,598,That Lotus position was killing my knees.
2724,95,47,112,278,437,1.471395881006865,0.032632397196658156,598,I call it my sham rock.
2801,96,48,93,260,401,1.4713216957605986,0.03494921498135916,598,You look ridiculous in that hat.
2918,97,53,96,281,430,1.4697674418604652,0.03398881004449598,598,Balance
541,98,51,100,280,431,1.468677494199536,0.033607786796521696,598,what? i should sit on a rock?
153,99,39,79,217,335,1.4686567164179105,0.037982560584987696,598,"I think, ergonomic I am."
2717,100,39,118,263,420,1.4666666666666666,0.03220619630130989,598,"Simply put my son, stay on the ball."
759,101,47,99,268,414,1.4661835748792271,0.03394589019648248,598,Turns out that hollow emptiness I felt was just sciatica.
780,102,24,64,153,241,1.4647302904564314,0.043201377874922384,598,I'm almost in good enough shape now to get down from here.
994,103,37,105,244,386,1.4637305699481866,0.0338213170695682,598,"Sitting cross-legged brings you arthritis, not wisdom."
834,104,38,114,258,410,1.4634146341463414,0.03257593591357291,598,Beats the hell out of a rock.
2151,105,36,111,248,395,1.4632911392405064,0.033071639688121136,598,"It's ALL about balance, son."
977,106,52,80,267,399,1.4611528822055138,0.03576664073162987,598,Last time the Green Giant came through I just had to take a pea.
2511,106,41,102,256,399,1.4611528822055138,0.033774476919806895,598,Alignment precedes enlightenment.
1086,108,43,97,257,397,1.4609571788413098,0.03427091793779773,598,"Sure, I had wisdom but my back was killing me."
620,109,40,105,257,402,1.4601990049751243,0.033403034786769065,598,"No secret, just roll with it."
560,110,40,99,250,389,1.4601542416452442,0.03420932540512556,598,You didn't get the text? Yoga class was canceled.
1097,111,34,114,248,396,1.4595959595959596,0.03261143253896623,598,"After forty years of meditation, I am certain of one thing. A stationary stone gathers moss."
1880,111,34,114,248,396,1.4595959595959596,0.03261143253896623,598,"I can teach you to sit, but I cannot teach you to think."
1770,113,33,115,246,394,1.4593908629441625,0.03252963371412034,598,"Yes, yes, the meaning of life, sure, but first, let me bounce something else off you."
2382,114,47,86,259,392,1.4591836734693877,0.035332905113713245,598,Did you happen to bring a large martini glass?
1065,115,33,61,183,277,1.4584837545126355,0.04198617566546322,598,I was hoping you'd bring a really big martini.
2619,116,44,87,253,384,1.4557291666666667,0.03529830948779538,598,"No, that's the next mountain over. I'm a personal trainer."
2261,117,45,81,251,377,1.453580901856764,0.035973248696098074,598,Nah. Amazon Prime. Got it the same day.
455,118,34,102,239,375,1.4533333333333334,0.03387439663632029,598,"In life, the most important thing is balance."
2444,119,32,99,230,361,1.451523545706371,0.034356600204435664,598,Balance. Literally.
997,120,38,81,229,348,1.4511494252873562,0.03664631272258133,598,The secret to happiness? Balance.
1664,121,48,70,250,368,1.451086956521739,0.03722225314434795,598,"One day, son, this will all be yours."
1946,122,41,80,239,360,1.45,0.036385347757228084,598,It helps my core beliefs.
842,123,37,86,234,357,1.4481792717086834,0.03573456786764247,598,Not everything is black and white.
2298,124,34,91,230,355,1.447887323943662,0.035208562003157876,598,You're looking at the rolling stone that gathered moss
128,125,30,93,220,343,1.446064139941691,0.03512792148065212,598,How do you know the ball is really green?
1146,126,39,78,233,350,1.4457142857142857,0.03669397193225525,598,I'd be willing to trade it for toilet paper.
2497,126,36,84,230,350,1.4457142857142857,0.03601843474747872,598,Don't ask me—I'm a fitness guru.
820,128,39,76,231,346,1.4450867052023122,0.03700442809640619,598,You can order it online from my website.
268,129,31,87,219,337,1.4421364985163205,0.03579987680893129,598,Maximus. Gluteus Maximus.
885,130,29,88,215,332,1.4397590361445782,0.03566671086900177,598,"It's not THE secret, but it helps with your posture."
1708,130,25,96,211,332,1.4397590361445782,0.034631135071658166,598,"When I show you my abs, you will understand."
2197,130,26,94,212,332,1.4397590361445782,0.03489291050223264,598,It's all about finding the right balance.
2712,130,44,58,230,332,1.4397590361445782,0.039307881762996745,598,Yours?? Can you describe it?
833,134,42,61,227,330,1.4393939393939394,0.03901805209061706,598,"Okay, grasshopper. Now guess how I inflate it."
2317,134,29,87,214,330,1.4393939393939394,0.03581803391763136,598,The secret is that The New Yorker pays more for cartoons with color.
1760,136,39,66,223,328,1.4390243902439024,0.038475809671250125,598,My major concern is how to make 10.000 steps a day
2376,137,28,89,214,331,1.4380664652567976,0.0354772025520967,598,Life is short. Have a ball.
2305,138,38,66,221,325,1.436923076923077,0.03848470337540497,598,"No, no. This is the mountain for finding your inner peas."
2517,139,24,91,205,320,1.434375,0.035219569197636205,598,Balance is the key.
2506,140,25,85,202,312,1.4326923076923077,0.03611904596902602,598,I'm afraid I'm just his receptionist
825,140,38,59,215,312,1.4326923076923077,0.03965524331047185,598,"Oo, no, the wisdom and inner peace guy is actually on the EAST mountain top. This is Bob’s Discount Balls Emporium."
1419,142,26,73,190,289,1.4325259515570934,0.03843185024578117,598,But the key to true happiness is probably guard rails.
2208,143,32,70,208,310,1.4322580645161291,0.038240536747602555,598,This is my invention; my brother did the wheel.
2293,144,24,85,200,309,1.4304207119741101,0.03605994866520451,598,"You have come all this way to ask me what I have learned in my time up here.Well let me just say , not everything in this life is black and white."
2184,145,24,84,199,307,1.4299674267100977,0.0362204231473308,598,Just seeking and getting in touch with your core isn’t enough. You need to strengthen it too.
1443,146,29,73,203,305,1.4295081967213115,0.03783598781586734,598,The meaning of life? Next mountaintop on your left.
2259,146,35,61,209,305,1.4295081967213115,0.0395092886476941,598,True wisdom is not leaving the ball outside on a windy day.
310,148,33,64,206,303,1.4290429042904291,0.03914596867366554,598,Take one step back and your troubles will be over
1694,148,34,62,207,303,1.4290429042904291,0.03942414683521248,598,"No really, Amazon Prime like totally changed my life."
109,150,36,59,211,306,1.4281045751633987,0.03967594826346716,598,"It’s all yours, if I can have your parachute."
2343,151,17,92,187,296,1.4256756756756757,0.03490135054832322,598,"I don't know about enlightenment, but I can fix your lower back pain."
1752,151,30,66,200,296,1.4256756756756757,0.03893404233570008,598,"In any event, I very much appreciate your bringing me back the ball."
17,151,52,22,222,296,1.4256756756756757,0.044941666377992635,598,Why doesn't the New Yorker get it's time correct for when the contest is over? This has been 3 weeks where y'all have messed up the times.
684,154,30,65,199,294,1.4251700680272108,0.039123594913500245,598,I'm having a ball. You?
993,155,34,59,206,299,1.4247491638795986,0.03978811586201581,598,"Nope, I haven't seen it."
175,156,25,73,192,290,1.4241379310344828,0.037970063767996776,598,"Oddly enough, posture is the key to happiness."
1494,156,26,71,193,290,1.4241379310344828,0.038283015076157535,598,It beats sitting on a rock.
1495,158,28,67,196,291,1.422680412371134,0.038794842525683895,598,You must work on your core beliefs.
2701,159,37,46,202,285,1.4210526315789473,0.04210217433691286,598,Colorblind huh ?? Sorry ... red is one mountain over.
2854,159,25,70,190,285,1.4210526315789473,0.03841974942870074,598,Everything isn’t black and white.
2076,161,22,48,149,219,1.4200913242009132,0.04515660037611664,598,"When it turns green, you're enlightened."
1874,162,27,64,190,281,1.4199288256227758,0.03944976124946721,598,Mount Olive.
2707,163,26,65,189,280,1.417857142857143,0.03921116606085503,598,"I have no idea, I'm a personal trainer."
1633,163,26,65,189,280,1.417857142857143,0.03921116606085503,598,"The balance you seek requires solitude, meditation, and the abnegation of all worldly goods. Or you could just buy one of these nifty balls."
421,165,45,26,207,278,1.4172661870503598,0.045238881530455244,598,"Dear New Yorker caption contest, the image will not load on any device. This has been a dark time in a season of joy. Please fix this immediately, or I will be calling the FBI. Thank you, and good day ""sir."""
1923,165,22,72,184,278,1.4172661870503598,0.038068364187979715,598,I do not know the meaning of life. All I have learned is how not to roll backwards.
2779,165,21,74,183,278,1.4172661870503598,0.037725698797596956,598,"Yes, that's it: Life's a ball!"
852,168,22,70,182,274,1.416058394160584,0.03844684968374097,598,"I used to be a Guru, but now I'm the Bouncer."
2778,168,38,38,198,274,1.416058394160584,0.04365725940594734,598,"...BUT, a rolling medicine ball DOES gather moss!!"
2733,170,29,55,188,272,1.4154411764705883,0.04102402767639037,598,My mother always told me not to swallow my bubblegum.
2764,170,31,51,190,272,1.4154411764705883,0.04168016429103995,598,"Ah, it sounds like you were seeking 'The Cave of the Red Ball'."
970,172,18,73,173,264,1.4128787878787878,0.037950013689320945,598,I needed some stability in my life.
26,173,24,62,181,267,1.4119850187265917,0.03983181956065368,598,"The secret to happiness is The Bomba Chair, just $19.95 plus shipping and handling."
854,173,22,66,179,267,1.4119850187265917,0.03911845181995023,598,"Well, Sisyphus was an inspiration, sure. But the idea was all mine."
1481,175,21,61,169,251,1.4103585657370519,0.04046208549020271,598,Who cares about eternal peace and happiness. My back's never felt better!
1228,176,31,42,181,254,1.4094488188976377,0.04382389171828246,598,"Sorry, class was yesterday."
2653,177,26,54,179,259,1.4092664092664093,0.04141581618851911,598,Happiness comes from the core.
409,178,27,51,179,257,1.4085603112840468,0.04200797519356812,598,It started as a small rolling stone but then it gathered a lot of moss
614,178,21,63,173,257,1.4085603112840468,0.039777845388538645,598,I need to work on my core beliefs.
939,178,26,53,178,257,1.4085603112840468,0.04164458124628713,598,"Sorry, that was your one question..."
2303,181,23,55,171,249,1.4056224899598393,0.04143746947753036,598,"Peace is good too, but what I said is that you should maximize peas in your life."
533,182,18,63,165,246,1.4024390243902438,0.03973500587194749,598,"Yup, that's all there is. A green ball. To sit on."
751,183,20,58,166,244,1.401639344262295,0.040787495442786086,598,The meaning of life? Stay balanced.
1517,183,23,52,169,244,1.401639344262295,0.04200968786792428,598,I see you have come seeking balance.
2760,183,20,58,166,244,1.401639344262295,0.040787495442786086,598,I think it really ties the cave together.
2888,186,15,70,164,249,1.4016064257028114,0.03814238140263373,598,Just because you have bad karma doesn't mean you need to have bad posture.
285,186,40,20,189,249,1.4016064257028114,0.04758709524088236,598,We can't see the polar bears because: 1) White-out snow storm; 2) Someone left the cage open; 3) The bears ate the photographer; 4) They're extinct because of global warming. Or the New Yorker IT team is forgot to post the cartoon.
2856,188,22,55,170,247,1.4008097165991902,0.041235933275389755,598,"Since we saw you last, it's gathered moss."
1653,189,18,63,167,248,1.3991935483870968,0.03948039792590544,598,"After seventy five years in the lotus position, this is as close to nirvana as I'm going to get."
2758,190,20,54,162,236,1.3983050847457628,0.04172604011860476,598,"Hey, I play with a bouncy ball on a mountain top--and you're asking me for the meaning of life?"
2516,191,24,47,168,239,1.397489539748954,0.04301301472101112,598,This will do until my standing desk arrives.
2814,191,20,55,164,239,1.397489539748954,0.041345826929921156,598,You want wisdom and I want a bicycle pump... let's talk.
511,193,18,57,159,234,1.3974358974358974,0.0410864658600962,598,Engage your core and the rest will follow.
1304,194,19,54,160,233,1.3948497854077253,0.04162815490407839,598,Turns out lotus position does nothing for core strength.
1683,195,21,49,161,231,1.393939393939394,0.042761692001961324,598,Let me guess - you're also looking for Skywalker.
432,196,15,60,154,229,1.3930131004366813,0.040260019464161086,598,I'm working on my core wisdom
1900,196,20,50,159,229,1.3930131004366813,0.04257224470613793,598,Takes a load off fanny.
2375,198,22,43,159,224,1.3883928571428572,0.044114222770395034,598,"There is no meaning to life, that's why I'm here."
54,199,14,58,150,222,1.3873873873873874,0.04055299452242884,598,Most people just want advice about back pain.
659,200,19,49,157,225,1.3866666666666667,0.04257579609001355,598,Wisdom doesn't matter if your back hurts.
2292,201,18,49,153,220,1.3863636363636365,0.042775998289478846,598,Are you here for spiritual advice or the gym?
2612,201,18,49,153,220,1.3863636363636365,0.042775998289478846,598,I am working on balance and stability. What are you seeking?
2646,201,17,51,152,220,1.3863636363636365,0.042288001007926436,598,"Balance, my son...balance."
717,204,15,54,149,218,1.385321100917431,0.04154079827926718,598,I think you might be colorblind.
2738,205,14,52,142,208,1.3846153846153846,0.042352430654652454,598,Have you brought the Preparation H?
2012,206,13,57,146,216,1.3842592592592593,0.040747346970458745,598,My standing desk comes next week.
2400,206,20,43,153,216,1.3842592592592593,0.04429233048828635,598,The lotus position was killing my lower back.
2537,206,23,37,156,216,1.3842592592592593,0.04572755740788971,598,Do I look like I have the answers to the universe?
2470,209,16,50,148,214,1.3831775700934579,0.042563690478955016,598,Be the ball.
1115,209,16,50,148,214,1.3831775700934579,0.042563690478955016,598,55 years I was up here and nothing. Then I get this ball 2 months ago and BOOM! Enlightenment.
1649,209,14,54,146,214,1.3831775700934579,0.041520041055258125,598,Fitness is one of my core beliefs.
769,209,15,52,147,214,1.3831775700934579,0.04204510409321521,598,We'll start with your core values.
827,209,20,42,152,214,1.3831775700934579,0.04457774807125431,598,"Just sittin' on the rock by the cave, wasting time."
975,214,15,51,146,212,1.3820754716981132,0.04230353192357262,598,Ball? What ball?
1842,214,16,49,147,212,1.3820754716981132,0.04282872324550167,598,Living off the grid doesn't mean you can neglect your core.
2482,214,19,43,150,212,1.3820754716981132,0.04436701139059196,598,"I have it and you don't. That, my friend, is existential."
227,217,27,26,157,210,1.380952380952381,0.04856655875586947,598,Why the fuck can't The New Yorker get its caption contest updated and current?
1722,217,18,44,148,210,1.380952380952381,0.04414288651410822,598,"You've come all this way, but the answer is on Google."
1158,219,16,41,135,192,1.3802083333333333,0.04589520405563439,598,"I'd offer you a seat, but it rolled down the mountain yesterday."
229,220,17,46,148,211,1.3791469194312795,0.04345396982661211,598,It keeps me balanced and humble with a little touch of shame.
2634,220,16,48,147,211,1.3791469194312795,0.0429314681284554,598,"I’m a nomad, so I bounce around a lot."
1196,222,18,42,147,207,1.3768115942028984,0.044543949070696066,598,"Have you tried turning it off, then back on again?"
74,222,16,46,145,207,1.3768115942028984,0.04347826086956522,598,The secret of life? One ball is enough.
442,224,15,47,143,205,1.3756097560975609,0.0432088255008099,598,Mindfulness by itself gets a bit tedious.
2414,224,18,41,146,205,1.3756097560975609,0.044838316472799955,598,Are you the Zumba instructor?
638,226,13,50,140,203,1.374384236453202,0.042350464811092337,598,Life is about balance.
1428,226,15,46,142,203,1.374384236453202,0.04348687813810537,598,It beats resting on my laurels.
1271,228,19,37,145,201,1.373134328358209,0.0459869453066322,598,As soon as this thing hatches I'm out of here.
211,229,16,40,137,193,1.3730569948186528,0.0456257752356409,598,Hemorrhoids
883,230,17,40,142,199,1.3718592964824121,0.045195100714345196,598,"You shoulda seen Sisyphus pushing this thing up here, what a klutz!"
937,230,20,34,145,199,1.3718592964824121,0.04684947878862568,598,"If you would just take one step backward, your life is guaranteed to change."
1001,230,12,50,137,199,1.3718592964824121,0.04229424198323379,598,It has nothing to do with the meaning of life. Green was 50% off.
2137,233,17,39,141,197,1.3705583756345177,0.04550362725892362,598,What good is enlightenment without a ripped core?
2000,233,19,35,143,197,1.3705583756345177,0.04662804768705631,598,"Turns out, it is all about your core."
2096,233,18,37,142,197,1.3705583756345177,0.04606926809069932,598,"I finally found Life's true balance - and for $19.95, so can you."
1914,233,12,49,136,197,1.3705583756345177,0.042562815346857685,598,"I came for the solace, but stayed for the rock-solid abs."
991,233,17,39,141,197,1.3705583756345177,0.04550362725892362,598,Free shipping from Amazon Prime. Why do you ask?
137,238,29,14,152,195,1.3692307692307693,0.05228467407267823,598,Your contest-cartoon #598 is not displaying; please reload it
616,238,14,44,137,195,1.3692307692307693,0.04405298776823291,598,The secret of life? Good posture.
783,238,13,46,136,195,1.3692307692307693,0.043448793276716795,598,My advice is to roll with it.
798,238,20,32,143,195,1.3692307692307693,0.04751709477587328,598,You look disappointed.
1525,238,15,42,138,195,1.3692307692307693,0.044649006992466087,598,Pain is inevitable. Bouncing is optional.
1586,238,15,42,138,195,1.3692307692307693,0.044649006992466087,598,"The answer is simple, but uncomfortable."
2611,238,17,38,140,195,1.3692307692307693,0.04581779145292471,598,"The secret to life my son is ""you gotta have balls""."
2585,245,16,41,141,198,1.3686868686868687,0.044742524722944044,598,"And you may find yourself on a big green ball in front of a cave, and you may ask yourself, ""Well... how did I get here?"""
147,246,19,32,139,190,1.368421052631579,0.04784714310963128,598,"Dave's not here, man."
2581,247,15,41,137,193,1.3678756476683938,0.04495272806589473,598,Happiness is a yoga ball chair. Nirvana is two day shipping.
207,248,20,30,141,191,1.3664921465968587,0.04821005228489391,598,"""No, they live next door""."
1030,248,14,42,135,191,1.3664921465968587,0.04464907093501669,598,"No philosophical importance, I just like green."
1465,248,19,32,140,191,1.3664921465968587,0.047635045295666464,598,Amazon Prime. No more questions.
2065,248,20,30,141,191,1.3664921465968587,0.04821005228489391,598,I too have pondered over who draws this stuff.
2128,248,17,36,138,191,1.3664921465968587,0.04646368838497627,598,The Pilates sign in sheet is at the bottom.
2216,248,15,40,136,191,1.3664921465968587,0.045262027532493074,598,And remember the importance of a regular colonoscopy.
2754,248,14,42,135,191,1.3664921465968587,0.04464907093501669,598,My journey from suffering began with free shipping.
2588,255,14,41,134,189,1.3650793650793651,0.04495533069122325,598,I finally realized that the secret to happiness is not sitting on a rock.
2660,255,15,39,135,189,1.3650793650793651,0.04557706712686855,598,Since I started using it they now call me the Abdominals Showman.
1179,257,12,46,134,192,1.3645833333333333,0.04321275301318439,598,"I don’t know about the secret of life, but it’s great for the glutes!"
2187,258,16,36,135,187,1.3636363636363635,0.046520197563473246,598,They said you strike a nice balance between CrossFit and Buddhism.
1550,258,17,34,136,187,1.3636363636363635,0.047134167942292055,598,Amazon.com--Where else?
915,258,16,36,135,187,1.3636363636363635,0.046520197563473246,598,"When they said I'd won the Powerball, I didn't expect *this*!"
1148,261,17,35,138,190,1.3631578947368421,0.04658846092392744,598,My disciples are easy to spot.
1640,261,13,43,134,190,1.3631578947368421,0.04413281682730803,598,The secret to success is to always be on the ball.
2761,263,15,37,133,185,1.3621621621621622,0.046225045713427206,598,"No, but it is the secret to lower back pain."
718,264,11,44,128,183,1.360655737704918,0.04390309983050786,598,"Honestly, all I've been thinking about lately is how great my lower back feels."
1448,264,15,36,132,183,1.360655737704918,0.04655834121009871,598,"I'll answer that, but it counts as your one question."
1469,264,13,40,130,183,1.360655737704918,0.045250200612613395,598,If you are seeking core spiritual values he is on the next mountain over. I specialize in core muscle groups
